student_id,job_id,payment_tier,role,preferred_role,label,skill_coverage,avg_score_on_required,n_skills_matched,nice_to_have_coverage,edu_match,exp_match,loc_match,student_avg_skill,years_experience,n_student_skills,n_job_required,payment_tier_paid
S0004,J0019,paid,DevOps Engineer,Data Scientist,0,0.1667,0.49,1,0.0,0,1,0,0.676,2.6,8,6,1
S0004,J0046,paid,Data Analyst,Data Scientist,0,0.5,0.62,3,0.25,0,0,0,0.676,2.6,8,6,1
S0004,J0042,paid,Data Analyst,Data Scientist,0,0.2,0.66,1,0.0,0,0,1,0.676,2.6,8,5,1
S0004,J0017,paid,Product Manager,Data Scientist,0,0.4,0.8,2,0.0,0,0,1,0.676,2.6,8,5,1
S0005,J0015,paid,Data Engineer,Backend Engineer,0,0.25,0.53,2,0.0,1,1,0,0.609,4.7,8,8,1
S0005,J0025,paid,Frontend Engineer,Backend Engineer,0,0.125,0.84,1,0.6667,1,1,1,0.609,4.7,8,8,1
S0005,J0056,paid,Data Scientist,Backend Engineer,0,0.25,0.48,1,0.25,1,1,0,0.609,4.7,8,4,1
S0005,J0053,paid,Data Analyst,Backend Engineer,0,0.25,0.84,1,0.5,1,1,0,0.609,4.7,8,4,1
S0005,J0000,paid,Business Analyst,Backend Engineer,0,0.375,0.61,3,0.3333,1,1,1,0.609,4.7,8,8,1
S0006,J0031,paid,Data Engineer,Business Analyst,0,0.0,0.0,0,0.5,1,0,1,0.718,4.8,5,4,1
S0006,J0060,paid,Data Analyst,Business Analyst,0,0.25,0.81,1,0.0,1,1,1,0.718,4.8,5,4,1
S0006,J0043,paid,ML Engineer,Business Analyst,0,0.0,0.0,0,0.0,1,1,0,0.718,4.8,5,6,1
S0006,J0036,paid,Data Engineer,Business Analyst,0,0.1429,0.72,1,0.0,1,1,1,0.718,4.8,5,7,1
S0006,J0064,paid,Data Scientist,Business Analyst,0,0.1667,0.59,1,0.0,1,0,0,0.718,4.8,5,6,1
S0007,J0021,paid,Full Stack Developer,Product Manager,0,0.1667,0.76,1,0.3333,1,0,1,0.591,0.9,10,6,1
S0007,J0010,paid,Data Engineer,Product Manager,0,0.5,0.63,3,0.0,1,0,0,0.591,0.9,10,6,1
S0007,J0034,paid,ML Engineer,Product Manager,0,0.4286,0.7033,3,1.0,1,0,1,0.591,0.9,10,7,1
S0007,J0047,paid,Backend Engineer,Product Manager,0,0.4,0.445,2,0.0,0,0,0,0.591,0.9,10,5,1
S0007,J0053,paid,Data Analyst,Product Manager,0,0.0,0.0,0,0.0,0,0,0,0.591,0.9,10,4,1
S0008,J0046,paid,Data Analyst,Data Scientist,0,0.0,0.0,0,0.0,1,1,0,0.663,7.9,6,6,1
S0008,J0031,paid,Data Engineer,Data Scientist,0,0.0,0.0,0,0.5,0,1,0,0.663,7.9,6,4,1
S0008,J0019,paid,DevOps Engineer,Data Scientist,1,0.5,0.59,3,0.5,1,1,0,0.663,7.9,6,6,1
S0008,J0067,paid,ML Engineer,Data Scientist,0,0.2857,0.645,2,0.0,1,1,0,0.663,7.9,6,7,1
S0008,J0053,paid,Data Analyst,Data Scientist,0,0.25,1.0,1,0.0,0,1,0,0.663,7.9,6,4,1
S0009,J0029,paid,Data Analyst,Product Manager,0,0.2857,0.265,2,0.0,1,0,0,0.47,1.3,6,7,1
S0009,J0017,paid,Product Manager,Product Manager,0,0.2,0.55,1,0.0,1,0,1,0.47,1.3,6,5,1
S0009,J0054,paid,ML Engineer,Product Manager,0,0.1667,0.24,1,0.0,1,1,0,0.47,1.3,6,6,1
S0009,J0052,paid,DevOps Engineer,Product Manager,0,0.1667,0.39,1,0.0,1,1,0,0.47,1.3,6,6,1
S0009,J0058,paid,Business Analyst,Product Manager,0,0.2,0.39,1,1.0,1,1,1,0.47,1.3,6,5,1
S0010,J0066,paid,Frontend Engineer,ML Engineer,0,0.25,0.75,1,0.0,0,0,1,0.677,1.8,6,4,1
S0010,J0046,paid,Data Analyst,ML Engineer,0,0.1667,0.43,1,0.0,1,0,0,0.677,1.8,6,6,1
S0010,J0003,paid,Data Engineer,ML Engineer,0,0.0,0.0,0,0.0,0,0,0,0.677,1.8,6,3,1
S0010,J0056,paid,Data Scientist,ML Engineer,0,0.0,0.0,0,0.25,1,0,0,0.677,1.8,6,4,1
S0010,J0018,paid,ML Engineer,ML Engineer,0,0.0,0.0,0,0.25,0,0,0,0.677,1.8,6,6,1
S0011,J0001,paid,Data Analyst,Business Analyst,0,0.0,0.0,0,0.0,0,0,0,0.67,3.9,3,8,1
S0011,J0066,paid,Frontend Engineer,Business Analyst,0,0.25,0.69,1,0.0,0,1,1,0.67,3.9,3,4,1
S0011,J0008,paid,Data Analyst,Business Analyst,0,0.25,0.59,2,0.0,1,0,1,0.67,3.9,3,8,1
S0011,J0010,paid,Data Engineer,Business Analyst,0,0.0,0.0,0,0.0,0,1,0,0.67,3.9,3,6,1
S0011,J0043,paid,ML Engineer,Business Analyst,0,0.0,0.0,0,0.0,0,1,0,0.67,3.9,3,6,1
S0012,J0040,paid,Product Manager,DevOps Engineer,1,0.6667,0.73,4,0.25,1,1,0,0.656,1.5,10,6,1
S0012,J0051,paid,Frontend Engineer,DevOps Engineer,0,0.25,0.6,1,0.0,1,1,0,0.656,1.5,10,4,1
S0012,J0021,paid,Full Stack Developer,DevOps Engineer,0,0.0,0.0,0,1.0,1,0,1,0.656,1.5,10,6,1
S0012,J0055,paid,Business Analyst,DevOps Engineer,0,0.4,0.815,2,1.0,1,1,0,0.656,1.5,10,5,1
S0012,J0007,paid,Full Stack Developer,DevOps Engineer,0,0.0,0.0,0,0.6667,1,0,1,0.656,1.5,10,4,1
S0013,J0050,paid,Data Analyst,Backend Engineer,0,0.0,0.0,0,0.0,0,1,0,0.728,5.2,5,5,1
S0013,J0004,paid,Data Analyst,Backend Engineer,0,0.0,0.0,0,0.3333,0,1,0,0.728,5.2,5,6,1
S0013,J0019,paid,DevOps Engineer,Backend Engineer,0,0.1667,0.58,1,0.5,0,1,0,0.728,5.2,5,6,1
S0013,J0073,paid,Data Scientist,Backend Engineer,0,0.0,0.0,0,0.6667,1,1,0,0.728,5.2,5,8,1
S0013,J0007,paid,Full Stack Developer,Backend Engineer,0,0.25,0.71,1,0.0,0,1,1,0.728,5.2,5,4,1
S0014,J0066,paid,Frontend Engineer,Backend Engineer,0,0.25,0.96,1,0.0,1,1,1,0.758,2.3,5,4,1
S0014,J0037,paid,Data Scientist,Backend Engineer,0,0.0,0.0,0,0.0,1,1,0,0.758,2.3,5,5,1
S0014,J0053,paid,Data Analyst,Backend Engineer,0,0.25,0.85,1,0.25,1,0,0,0.758,2.3,5,4,1
S0014,J0051,paid,Frontend Engineer,Backend Engineer,0,0.25,0.75,1,0.0,1,1,0,0.758,2.3,5,4,1
S0014,J0070,paid,Frontend Engineer,Backend Engineer,0,0.1667,0.75,1,0.5,1,0,0,0.758,2.3,5,6,1
S0015,J0038,paid,Frontend Engineer,Business Analyst,0,0.25,0.65,2,0.0,1,1,0,0.569,4.1,7,8,1
S0015,J0040,paid,Product Manager,Business Analyst,0,0.5,0.4767,3,0.0,0,1,0,0.569,4.1,7,6,1
S0015,J0044,paid,Data Engineer,Business Analyst,0,0.3333,0.68,2,0.0,0,1,0,0.569,4.1,7,6,1
S0015,J0001,paid,Data Analyst,Business Analyst,0,0.25,0.715,2,0.0,0,0,0,0.569,4.1,7,8,1
S0015,J0035,paid,Backend Engineer,Business Analyst,0,0.2,0.21,1,0.25,0,1,0,0.569,4.1,7,5,1
S0016,J0067,paid,ML Engineer,Business Analyst,0,0.1429,0.94,1,0.3333,1,1,0,0.87,5.0,4,7,1
S0016,J0078,paid,Product Manager,Business Analyst,0,0.1429,0.66,1,0.0,1,1,0,0.87,5.0,4,7,1
S0016,J0018,paid,ML Engineer,Business Analyst,0,0.1667,0.94,1,0.25,1,1,0,0.87,5.0,4,6,1
S0016,J0051,paid,Frontend Engineer,Business Analyst,0,0.0,0.0,0,0.0,1,1,0,0.87,5.0,4,4,1
S0016,J0057,paid,Data Engineer,Business Analyst,0,0.0,0.0,0,0.0,1,1,0,0.87,5.0,4,3,1
S0017,J0026,paid,Frontend Engineer,Backend Engineer,0,0.1667,0.65,1,0.0,0,1,0,0.584,8.0,8,6,1
S0017,J0069,paid,ML Engineer,Backend Engineer,0,0.5714,0.68,4,0.3333,0,1,1,0.584,8.0,8,7,1
S0017,J0079,paid,Product Manager,Backend Engineer,0,0.4,0.835,2,0.0,1,1,0,0.584,8.0,8,5,1
S0017,J0056,paid,Data Scientist,Backend Engineer,0,0.5,0.18,2,0.0,1,1,0,0.584,8.0,8,4,1
S0017,J0044,paid,Data Engineer,Backend Engineer,0,0.1667,0.41,1,0.5,0,1,0,0.584,8.0,8,6,1
S0018,J0051,paid,Frontend Engineer,Frontend Engineer,0,0.0,0.0,0,1.0,0,1,0,0.614,7.5,7,4,1
S0018,J0025,paid,Frontend Engineer,Frontend Engineer,0,0.375,0.56,3,0.3333,1,1,0,0.614,7.5,7,8,1
S0018,J0038,paid,Frontend Engineer,Frontend Engineer,0,0.25,0.87,2,0.0,0,1,0,0.614,7.5,7,8,1
S0018,J0010,paid,Data Engineer,Frontend Engineer,0,0.0,0.0,0,1.0,0,1,0,0.614,7.5,7,6,1
S0018,J0004,paid,Data Analyst,Frontend Engineer,0,0.3333,0.47,2,1.0,0,1,1,0.614,7.5,7,6,1
S0019,J0068,paid,Business Analyst,Data Engineer,0,0.0,0.0,0,0.0,1,1,1,0.66,5.5,4,3,1
S0019,J0042,paid,Data Analyst,Data Engineer,0,0.2,0.74,1,0.0,0,1,1,0.66,5.5,4,5,1
S0019,J0049,paid,Data Scientist,Data Engineer,0,0.0,0.0,0,0.5,1,1,1,0.66,5.5,4,5,1
S0019,J0016,paid,Data Engineer,Data Engineer,0,0.3333,0.78,1,1.0,1,1,0,0.66,5.5,4,3,1
S0019,J0066,paid,Frontend Engineer,Data Engineer,0,0.0,0.0,0,0.0,0,1,1,0.66,5.5,4,4,1
S0020,J0069,paid,ML Engineer,ML Engineer,0,0.2857,0.915,2,0.0,0,1,1,0.849,5.6,7,7,1
S0020,J0036,paid,Data Engineer,ML Engineer,0,0.1429,0.83,1,0.0,0,1,1,0.849,5.6,7,7,1
S0020,J0027,paid,Full Stack Developer,ML Engineer,0,0.0,0.0,0,0.0,0,1,0,0.849,5.6,7,3,1
S0020,J0011,paid,Frontend Engineer,ML Engineer,0,0.0,0.0,0,0.0,0,1,0,0.849,5.6,7,3,1
S0020,J0065,paid,Product Manager,ML Engineer,0,0.2857,0.795,2,0.25,1,1,0,0.849,5.6,7,7,1
S0021,J0070,paid,Frontend Engineer,Backend Engineer,0,0.3333,0.64,2,0.0,1,0,0,0.712,0.3,5,6,1
S0021,J0039,paid,Data Scientist,Backend Engineer,0,0.0,0.0,0,0.0,1,0,1,0.712,0.3,5,4,1
S0021,J0066,paid,Frontend Engineer,Backend Engineer,0,0.5,0.705,2,0.0,0,0,1,0.712,0.3,5,4,1
S0021,J0043,paid,ML Engineer,Backend Engineer,0,0.0,0.0,0,0.0,1,0,1,0.712,0.3,5,6,1
S0021,J0020,paid,Data Scientist,Backend Engineer,0,0.6667,0.725,2,0.0,1,0,0,0.712,0.3,5,3,1
S0022,J0002,paid,Business Analyst,DevOps Engineer,0,0.0,0.0,0,0.3333,1,0,0,0.588,1.9,4,6,1
S0022,J0003,paid,Data Engineer,DevOps Engineer,0,0.0,0.0,0,0.0,0,0,0,0.588,1.9,4,3,1
S0022,J0069,paid,ML Engineer,DevOps Engineer,0,0.1429,0.65,1,0.0,1,1,1,0.588,1.9,4,7,1
S0022,J0075,paid,Data Engineer,DevOps Engineer,0,0.125,0.43,1,0.0,0,1,0,0.588,1.9,4,8,1
S0022,J0033,paid,DevOps Engineer,DevOps Engineer,0,0.0,0.0,0,0.0,1,1,0,0.588,1.9,4,8,1
S0023,J0030,paid,Data Analyst,Data Analyst,0,0.0,0.0,0,0.5,1,1,0,0.537,6.4,3,3,1
S0023,J0038,paid,Frontend Engineer,Data Analyst,0,0.0,0.0,0,0.0,1,1,1,0.537,6.4,3,8,1
S0023,J0054,paid,ML Engineer,Data Analyst,0,0.1667,1.0,1,0.0,1,1,1,0.537,6.4,3,6,1
S0023,J0064,paid,Data Scientist,Data Analyst,0,0.1667,1.0,1,0.3333,1,1,0,0.537,6.4,3,6,1
S0023,J0014,paid,Business Analyst,Data Analyst,0,0.1667,0.42,1,0.0,0,1,1,0.537,6.4,3,6,1
S0024,J0007,paid,Full Stack Developer,Data Scientist,0,0.25,1.0,1,0.0,1,1,1,0.72,6.4,4,4,1
S0024,J0047,paid,Backend Engineer,Data Scientist,0,0.0,0.0,0,0.5,0,1,1,0.72,6.4,4,5,1
S0024,J0033,paid,DevOps Engineer,Data Scientist,0,0.125,0.48,1,0.0,1,1,0,0.72,6.4,4,8,1
S0024,J0064,paid,Data Scientist,Data Scientist,0,0.0,0.0,0,0.3333,1,1,0,0.72,6.4,4,6,1
S0024,J0045,paid,Business Analyst,Data Scientist,0,0.0,0.0,0,0.25,1,1,0,0.72,6.4,4,3,1
S0025,J0015,paid,Data Engineer,Business Analyst,0,0.25,0.495,2,0.0,1,1,0,0.575,7.0,6,8,1
S0025,J0006,paid,ML Engineer,Business Analyst,0,0.25,0.39,2,0.0,1,1,0,0.575,7.0,6,8,1
S0025,J0057,paid,Data Engineer,Business Analyst,0,0.3333,0.3,1,0.0,1,1,0,0.575,7.0,6,3,1
S0025,J0038,paid,Frontend Engineer,Business Analyst,0,0.125,0.51,1,0.3333,1,1,0,0.575,7.0,6,8,1
S0025,J0073,paid,Data Scientist,Business Analyst,0,0.125,0.51,1,0.3333,1,1,0,0.575,7.0,6,8,1
S0026,J0000,paid,Business Analyst,DevOps Engineer,0,0.125,0.12,1,0.0,0,1,1,0.671,6.5,7,8,1
S0026,J0058,paid,Business Analyst,DevOps Engineer,1,0.6,0.7033,3,0.0,1,1,1,0.671,6.5,7,5,1
S0026,J0043,paid,ML Engineer,DevOps Engineer,0,0.1667,0.71,1,0.25,0,1,0,0.671,6.5,7,6,1
S0026,J0030,paid,Data Analyst,DevOps Engineer,0,0.3333,0.93,1,0.5,1,1,0,0.671,6.5,7,3,1
S0026,J0074,paid,Full Stack Developer,DevOps Engineer,0,0.2857,0.9,2,0.0,0,1,0,0.671,6.5,7,7,1
S0027,J0072,paid,Data Scientist,DevOps Engineer,0,0.0,0.0,0,0.0,1,1,0,0.715,2.5,4,4,1
S0027,J0068,paid,Business Analyst,DevOps Engineer,0,0.0,0.0,0,0.0,1,0,0,0.715,2.5,4,3,1
S0027,J0076,paid,ML Engineer,DevOps Engineer,0,0.3333,0.56,2,0.0,1,0,0,0.715,2.5,4,6,1
S0027,J0029,paid,Data Analyst,DevOps Engineer,0,0.1429,0.5,1,0.0,1,1,0,0.715,2.5,4,7,1
S0027,J0044,paid,Data Engineer,DevOps Engineer,0,0.3333,0.56,2,0.0,1,1,0,0.715,2.5,4,6,1
S0028,J0038,paid,Frontend Engineer,Data Engineer,1,0.5,0.57,4,0.0,1,1,0,0.56,1.7,7,8,1
S0028,J0036,paid,Data Engineer,Data Engineer,0,0.1429,0.48,1,0.0,1,1,1,0.56,1.7,7,7,1
S0028,J0073,paid,Data Scientist,Data Engineer,0,0.125,0.74,1,0.3333,1,0,1,0.56,1.7,7,8,1
S0028,J0017,paid,Product Manager,Data Engineer,0,0.0,0.0,0,0.0,0,0,0,0.56,1.7,7,5,1
S0028,J0048,paid,Frontend Engineer,Data Engineer,0,0.375,0.65,3,0.0,1,1,0,0.56,1.7,7,8,1
S0029,J0066,paid,Frontend Engineer,DevOps Engineer,0,0.25,0.8,1,1.0,0,1,1,0.634,3.8,10,4,1
S0029,J0031,paid,Data Engineer,DevOps Engineer,0,0.25,0.65,1,0.5,0,0,1,0.634,3.8,10,4,1
S0029,J0013,paid,Full Stack Developer,DevOps Engineer,0,0.25,0.725,2,1.0,0,1,0,0.634,3.8,10,8,1
S0029,J0041,paid,Data Analyst,DevOps Engineer,0,0.0,0.0,0,0.0,0,1,0,0.634,3.8,10,7,1
S0029,J0074,paid,Full Stack Developer,DevOps Engineer,0,0.2857,0.81,2,0.0,0,1,0,0.634,3.8,10,7,1
S0030,J0024,paid,Data Engineer,Product Manager,0,0.3333,0.96,1,0.0,1,1,0,0.735,1.8,6,3,1
S0030,J0046,paid,Data Analyst,Product Manager,0,0.3333,0.625,2,0.25,1,0,0,0.735,1.8,6,6,1
S0030,J0058,paid,Business Analyst,Product Manager,0,0.0,0.0,0,0.0,1,1,1,0.735,1.8,6,5,1
S0030,J0012,paid,Data Scientist,Product Manager,0,0.3333,0.655,2,0.5,1,0,0,0.735,1.8,6,6,1
S0030,J0018,paid,ML Engineer,Product Manager,0,0.1667,0.91,1,0.25,1,0,0,0.735,1.8,6,6,1
S0031,J0054,paid,ML Engineer,Data Engineer,0,0.3333,0.365,2,0.0,1,1,0,0.408,5.8,6,6,1
S0031,J0052,paid,DevOps Engineer,Data Engineer,0,0.0,0.0,0,0.3333,1,1,0,0.408,5.8,6,6,1
S0031,J0010,paid,Data Engineer,Data Engineer,0,0.5,0.25,3,0.0,1,1,1,0.408,5.8,6,6,1
S0031,J0011,paid,Frontend Engineer,Data Engineer,0,0.3333,0.25,1,0.0,1,1,1,0.408,5.8,6,3,1
S0031,J0007,paid,Full Stack Developer,Data Engineer,1,0.5,0.495,2,0.3333,1,1,1,0.408,5.8,6,4,1
S0032,J0054,paid,ML Engineer,Frontend Engineer,0,0.3333,0.79,2,0.0,1,1,0,0.6,3.5,5,6,1
S0032,J0016,paid,Data Engineer,Frontend Engineer,0,0.3333,0.65,1,0.0,1,1,0,0.6,3.5,5,3,1
S0032,J0060,paid,Data Analyst,Frontend Engineer,0,0.0,0.0,0,0.5,1,1,0,0.6,3.5,5,4,1
S0032,J0027,paid,Full Stack Developer,Frontend Engineer,0,0.0,0.0,0,0.6667,0,1,0,0.6,3.5,5,3,1
S0032,J0057,paid,Data Engineer,Frontend Engineer,0,0.0,0.0,0,0.0,1,1,0,0.6,3.5,5,3,1
S0033,J0009,paid,Full Stack Developer,DevOps Engineer,0,0.0,0.0,0,0.25,0,1,0,0.611,7.2,8,4,1
S0033,J0047,paid,Backend Engineer,DevOps Engineer,0,0.4,0.59,2,0.5,0,1,0,0.611,7.2,8,5,1
S0033,J0067,paid,ML Engineer,DevOps Engineer,0,0.4286,0.65,3,0.6667,1,1,0,0.611,7.2,8,7,1
S0033,J0051,paid,Frontend Engineer,DevOps Engineer,0,0.25,0.66,1,1.0,0,1,0,0.611,7.2,8,4,1
S0033,J0075,paid,Data Engineer,DevOps Engineer,0,0.125,0.6,1,0.5,0,1,0,0.611,7.2,8,8,1
S0034,J0071,paid,Data Engineer,Business Analyst,0,0.3333,0.59,1,0.5,1,1,1,0.58,4.3,10,3,1
S0034,J0066,paid,Frontend Engineer,Business Analyst,0,0.25,0.67,1,0.0,1,1,1,0.58,4.3,10,4,1
S0034,J0050,paid,Data Analyst,Business Analyst,0,0.4,0.415,2,0.25,1,0,0,0.58,4.3,10,5,1
S0034,J0033,paid,DevOps Engineer,Business Analyst,0,0.375,0.5933,3,0.0,1,1,0,0.58,4.3,10,8,1
S0034,J0074,paid,Full Stack Developer,Business Analyst,0,0.1429,0.48,1,1.0,1,1,0,0.58,4.3,10,7,1
S0035,J0063,paid,ML Engineer,Backend Engineer,0,0.1667,0.8,1,0.0,1,0,0,0.667,0.4,3,6,1
S0035,J0054,paid,ML Engineer,Backend Engineer,0,0.0,0.0,0,0.0,1,0,1,0.667,0.4,3,6,1
S0035,J0056,paid,Data Scientist,Backend Engineer,0,0.25,0.38,1,0.0,1,0,0,0.667,0.4,3,4,1
S0035,J0062,paid,DevOps Engineer,Backend Engineer,0,0.1667,0.82,1,0.0,1,1,0,0.667,0.4,3,6,1
S0035,J0053,paid,Data Analyst,Backend Engineer,0,0.0,0.0,0,0.25,1,0,0,0.667,0.4,3,4,1
S0036,J0020,paid,Data Scientist,Data Analyst,0,0.0,0.0,0,0.25,0,0,0,0.612,0.2,10,3,1
S0036,J0018,paid,ML Engineer,Data Analyst,0,0.6667,0.525,4,0.25,0,0,0,0.612,0.2,10,6,1
S0036,J0064,paid,Data Scientist,Data Analyst,0,0.1667,0.68,1,0.3333,1,0,0,0.612,0.2,10,6,1
S0036,J0016,paid,Data Engineer,Data Analyst,0,0.0,0.0,0,0.0,1,1,0,0.612,0.2,10,3,1
S0036,J0062,paid,DevOps Engineer,Data Analyst,1,0.5,0.56,3,0.0,1,1,0,0.612,0.2,10,6,1
S0037,J0058,paid,Business Analyst,Business Analyst,0,0.4,0.47,2,0.0,1,1,1,0.615,3.2,10,5,1
S0037,J0016,paid,Data Engineer,Business Analyst,0,0.0,0.0,0,1.0,1,1,0,0.615,3.2,10,3,1
S0037,J0065,paid,Product Manager,Business Analyst,1,0.7143,0.664,5,0.0,1,1,0,0.615,3.2,10,7,1
S0037,J0067,paid,ML Engineer,Business Analyst,0,0.2857,0.66,2,0.0,1,1,1,0.615,3.2,10,7,1
S0037,J0015,paid,Data Engineer,Business Analyst,1,0.5,0.5225,4,0.25,1,1,0,0.615,3.2,10,8,1
S0038,J0027,paid,Full Stack Developer,DevOps Engineer,0,0.3333,0.63,1,0.3333,0,0,0,0.543,0.6,6,3,1
S0038,J0058,paid,Business Analyst,DevOps Engineer,0,0.2,0.59,1,0.0,1,0,1,0.543,0.6,6,5,1
S0038,J0060,paid,Data Analyst,DevOps Engineer,1,0.5,0.615,2,0.0,1,1,0,0.543,0.6,6,4,1
S0038,J0004,paid,Data Analyst,DevOps Engineer,0,0.5,0.57,3,0.0,1,0,0,0.543,0.6,6,6,1
S0038,J0020,paid,Data Scientist,DevOps Engineer,0,0.3333,0.36,1,0.25,1,0,0,0.543,0.6,6,3,1
S0039,J0071,paid,Data Engineer,Data Engineer,0,0.6667,0.56,2,0.0,1,0,1,0.603,0.7,10,3,1
S0039,J0047,paid,Backend Engineer,Data Engineer,0,0.6,0.7067,3,0.5,1,0,1,0.603,0.7,10,5,1
S0039,J0015,paid,Data Engineer,Data Engineer,0,0.375,0.5267,3,0.75,1,0,0,0.603,0.7,10,8,1
S0039,J0077,paid,Frontend Engineer,Data Engineer,0,0.2857,0.71,2,0.0,1,0,1,0.603,0.7,10,7,1
S0039,J0052,paid,DevOps Engineer,Data Engineer,0,0.3333,0.68,2,0.3333,1,0,0,0.603,0.7,10,6,1
S0040,J0014,paid,Business Analyst,Data Scientist,0,0.3333,0.455,2,0.0,1,1,1,0.694,5.5,9,6,1
S0040,J0015,paid,Data Engineer,Data Scientist,0,0.375,0.5733,3,0.0,1,1,0,0.694,5.5,9,8,1
S0040,J0047,paid,Backend Engineer,Data Scientist,0,0.4,1.0,2,0.5,1,1,0,0.694,5.5,9,5,1
S0040,J0073,paid,Data Scientist,Data Scientist,0,0.125,0.6,1,0.6667,1,1,1,0.694,5.5,9,8,1
S0040,J0037,paid,Data Scientist,Data Scientist,0,0.4,0.905,2,0.0,1,1,0,0.694,5.5,9,5,1
S0041,J0005,paid,Data Engineer,Data Engineer,0,0.3333,0.48,1,0.0,1,0,0,0.69,2.8,4,3,1
S0041,J0066,paid,Frontend Engineer,Data Engineer,0,0.25,0.95,1,0.0,0,1,1,0.69,2.8,4,4,1
S0041,J0019,paid,DevOps Engineer,Data Engineer,0,0.0,0.0,0,0.25,1,1,0,0.69,2.8,4,6,1
S0041,J0015,paid,Data Engineer,Data Engineer,0,0.125,0.95,1,0.25,1,0,0,0.69,2.8,4,8,1
S0041,J0047,paid,Backend Engineer,Data Engineer,0,0.0,0.0,0,0.5,0,0,0,0.69,2.8,4,5,1
S0042,J0039,paid,Data Scientist,Backend Engineer,0,0.25,0.88,1,0.0,1,1,1,0.75,5.8,7,4,1
S0042,J0047,paid,Backend Engineer,Backend Engineer,0,0.0,0.0,0,0.0,0,1,0,0.75,5.8,7,5,1
S0042,J0038,paid,Frontend Engineer,Backend Engineer,0,0.25,0.74,2,0.3333,1,1,0,0.75,5.8,7,8,1
S0042,J0037,paid,Data Scientist,Backend Engineer,0,0.2,0.84,1,0.25,1,1,0,0.75,5.8,7,5,1
S0042,J0062,paid,DevOps Engineer,Backend Engineer,0,0.0,0.0,0,0.0,1,1,0,0.75,5.8,7,6,1
S0043,J0003,paid,Data Engineer,Data Engineer,0,0.0,0.0,0,1.0,1,0,0,0.717,0.1,7,3,1
S0043,J0018,paid,ML Engineer,Data Engineer,0,0.1667,0.65,1,0.25,0,0,0,0.717,0.1,7,6,1
S0043,J0075,paid,Data Engineer,Data Engineer,0,0.25,0.69,2,0.0,1,0,0,0.717,0.1,7,8,1
S0043,J0053,paid,Data Analyst,Data Engineer,0,0.25,0.69,1,0.25,0,0,0,0.717,0.1,7,4,1
S0043,J0006,paid,ML Engineer,Data Engineer,0,0.25,0.815,2,1.0,1,0,0,0.717,0.1,7,8,1
