job_id,company_size,salary_min,salary_max,required_exp_min,required_exp_max,required_gpa_min,urgency_level,req_python,req_javascript,req_java,req_sql,req_aws,req_docker
48,Startup,329354,1170986,1,6,6.19614074172228,Low,25,50,25,0,25,85
49,SME,270320,863254,3,8,6.19300177473149,Low,0,0,75,0,25,50
50,Startup,517057,1075197,2,5,6.6913612716462305,Low,0,25,0,75,50,85
51,Large,521546,731458,0,8,7.441950659720121,Low,75,0,0,0,85,85
52,Startup,321649,815192,4,11,7.466160891906001,Medium,25,75,25,0,75,75
53,Large,566074,842282,2,7,6.659315927352632,Medium,25,0,85,75,0,0
54,SME,368354,1434233,3,14,5.502174039609865,Medium,50,0,0,0,25,50
55,SME,369290,1482517,2,12,7.301313101536799,High,50,50,0,0,0,85
56,Startup,259739,802929,4,10,6.640475929154096,Medium,75,85,0,0,85,0
57,SME,448765,631566,0,10,6.231992816579872,High,0,85,0,0,0,75
58,SME,466651,841300,4,5,7.158390282031877,High,75,0,50,0,0,75
59,Startup,377375,623798,3,9,6.29966491870041,High,75,25,25,85,0,75
60,Large,302552,1006781,4,7,5.568089012400529,Medium,0,75,0,25,0,0
61,SME,279059,623027,2,14,7.142144446114037,Medium,0,0,0,0,0,0
62,SME,355739,1100252,1,5,6.591718802039525,Medium,75,85,0,0,50,0
63,SME,335064,1090847,2,12,6.176287076448393,High,0,0,50,50,75,0
64,Startup,437898,1392063,3,11,6.001784752707702,High,25,75,50,0,50,0
65,Large,330514,1345225,0,11,6.687594918830851,Low,25,25,85,0,75,0
66,SME,549824,839628,4,14,5.9160990964502,High,85,0,25,75,25,0
67,Startup,225530,1181166,0,14,6.147701773114006,High,0,25,0,85,85,0
68,SME,441348,1169494,3,14,6.773060618827968,Medium,75,0,0,75,75,0
69,SME,215305,1227761,4,8,7.263088900811864,Low,85,85,0,75,85,50
70,SME,309097,658334,2,10,6.565780656783198,Low,85,75,0,0,0,25
71,SME,453805,934467,2,13,7.018212796598185,Low,0,75,0,25,0,75
72,Startup,418339,1177907,3,7,7.026121207526083,Medium,0,0,75,0,0,85
73,Startup,252044,1227824,4,13,6.828707905318773,Low,50,25,0,50,0,0
74,Large,330436,1020091,2,8,5.9916766753610355,Low,0,0,75,85,0,25
75,Startup,289363,1279874,3,9,7.233577196300484,Medium,0,85,50,75,25,0
76,Large,520961,1123604,3,11,6.372551311279133,Low,75,50,50,0,0,25
77,Startup,303038,753652,0,10,5.588421487871401,High,25,0,85,75,0,0
78,Large,246666,859201,2,14,5.9892253401390505,High,0,85,0,25,0,25
79,SME,481053,1341187,4,12,7.031096708198632,High,25,0,50,0,25,75
80,SME,222525,1131022,2,12,5.6382666716349785,High,75,0,50,75,0,0
81,Startup,312293,1338360,2,12,5.794728804309822,High,50,50,0,25,50,0
82,Startup,301046,1425440,2,7,6.888453632083409,High,0,0,0,0,75,0
83,Startup,237403,911493,3,14,7.285201579455081,High,75,0,0,85,0,25
84,Startup,368265,738886,1,10,6.767464010115273,High,0,25,0,85,50,0
85,SME,597046,1036370,1,11,5.944582107659109,High,0,75,75,75,25,75
86,SME,331605,738923,0,13,5.606827526499098,Medium,0,0,75,25,0,0
87,SME,443626,732672,2,14,6.730253165100623,Medium,50,0,0,0,50,0
88,Large,352018,656614,1,14,5.594797155862328,High,0,75,75,0,0,75
89,SME,485648,803474,0,8,6.725444103883514,Medium,0,0,0,0,85,25
90,SME,310551,1390124,3,9,5.95115988832219,Medium,50,85,0,25,0,0
91,SME,517859,726745,2,12,7.30931212481766,High,85,0,50,0,25,0
92,SME,359327,789099,4,5,6.450185336974724,High,50,85,75,75,50,0
93,SME,236855,1373131,3,10,5.947876866619391,Medium,0,0,0,50,0,0
94,Large,241721,1406805,0,8,7.206290633117183,High,0,0,25,50,85,50
95,Startup,311597,1353996,3,9,6.008070796895017,High,0,0,0,0,0,25
96,Startup,372922,1121435,4,9,6.113198153049751,High,25,75,50,0,50,0
97,SME,562803,1056021,3,6,7.168555798110911,High,85,0,0,25,85,0
98,Startup,496867,974557,0,12,6.117584059601192,Medium,0,25,0,0,75,50
99,Large,366811,1138795,4,6,6.3203275384612745,Low,75,75,75,0,85,0
100,Large,460429,925075,4,8,6.195331341517733,Medium,0,25,75,0,50,0
