student_id,dominant_background,years_experience,gpa,skill_python,skill_sql,skill_machine_learning,skill_data_analysis,skill_deep_learning,skill_javascript,skill_react,skill_node_js,skill_java,skill_aws,skill_docker,skill_kubernetes,skill_communication,skill_teamwork,skill_problem_solving,skill_project_management,skill_excel,skill_tableau,skill_spark,skill_statistics
STU_0015,Backend Developer,1.4,2.69,0.466,0.79,0.115,0.098,0.264,0.362,0.149,0.817,0.807,0.466,0.661,0.155,0.096,0.264,0.235,0.0,0.0,0.264,0.078,0.245
STU_0016,Backend Developer,0.5,3.18,0.488,1.0,0.253,0.137,0.06,0.123,0.021,0.833,0.683,0.764,0.64,0.043,0.136,0.0,0.182,0.174,0.324,0.0,0.374,0.323
STU_0017,Frontend Developer,0.0,3.19,0.352,0.0,0.307,0.084,0.0,0.731,0.901,0.376,0.256,0.0,0.0,0.406,0.836,0.043,0.7,0.353,0.263,0.222,0.364,0.09
STU_0018,Project Manager,4.3,3.23,0.159,0.142,0.211,0.205,0.043,0.32,0.054,0.167,0.156,0.254,0.0,0.334,0.798,1.0,0.728,0.943,0.987,0.158,0.386,0.206
STU_0019,Full Stack Developer,4.5,2.79,0.727,0.597,0.052,0.104,0.215,0.767,0.807,0.996,0.054,0.09,0.385,0.505,0.246,0.272,0.0,0.2,0.276,0.162,0.361,0.547
STU_0020,ML Engineer,2.1,2.63,0.768,0.441,1.0,0.18,0.805,0.078,0.334,0.143,0.161,0.791,0.672,0.165,0.202,0.319,0.447,0.288,0.32,0.17,0.494,0.798
STU_0021,Backend Developer,0.4,3.63,0.651,0.788,0.123,0.422,0.272,0.406,0.24,0.712,0.66,0.602,0.702,0.0,0.119,0.152,0.262,0.269,0.113,0.27,0.173,0.0
STU_0022,Frontend Developer,4.4,2.92,0.0,0.217,0.438,0.086,0.2,0.704,1.0,0.488,0.207,0.403,0.299,0.069,0.603,0.274,0.606,0.0,0.192,0.0,0.442,0.227
STU_0023,DevOps Engineer,3.4,3.2,0.317,0.035,0.352,0.535,0.309,0.186,0.135,0.057,0.509,0.872,1.0,1.0,0.0,0.1,0.7,0.188,0.191,0.649,0.038,0.234
STU_0024,Data Scientist,1.3,2.67,0.917,0.543,0.916,0.977,0.649,0.286,0.412,0.341,0.211,0.024,0.11,0.167,0.738,0.128,0.06,0.022,0.0,0.165,0.0,0.65
STU_0025,DevOps Engineer,7.4,2.57,0.657,0.311,0.118,0.134,0.281,0.093,0.083,0.379,0.333,0.99,1.0,0.603,0.403,0.259,0.952,0.258,0.207,0.159,0.255,0.153
STU_0026,DevOps Engineer,1.7,3.79,0.519,0.507,0.106,0.164,0.068,0.25,0.09,0.172,0.327,0.795,1.0,1.0,0.358,0.221,1.0,0.358,0.249,0.069,0.185,0.414
STU_0027,ML Engineer,5.5,2.46,1.0,0.012,0.973,0.014,0.577,0.236,0.278,0.336,0.275,0.78,0.552,0.184,0.0,0.0,0.311,0.087,0.331,0.366,0.507,0.789
STU_0028,ML Engineer,6.3,3.18,0.918,0.129,0.834,0.496,0.571,0.257,0.051,0.336,0.245,0.757,0.558,0.085,0.339,0.466,0.272,0.065,0.251,0.564,0.615,0.919
STU_0029,DevOps Engineer,7.7,3.3,0.693,0.26,0.085,0.079,0.348,0.379,0.427,0.471,0.22,0.853,1.0,1.0,0.053,0.045,0.874,0.173,0.196,0.361,0.314,0.399
STU_0030,Frontend Developer,6.4,3.28,0.304,0.0,0.102,0.074,0.203,1.0,1.0,0.378,0.279,0.284,0.258,0.26,0.746,0.453,0.865,0.041,0.319,0.334,0.247,0.37
STU_0031,Project Manager,6.0,3.07,0.218,0.0,0.188,0.1,0.022,0.415,0.276,0.196,0.115,0.244,0.349,0.076,0.899,1.0,0.51,0.941,0.636,0.18,0.125,0.221
STU_0032,Full Stack Developer,2.6,3.66,0.644,0.999,0.117,0.472,0.201,1.0,0.813,0.846,0.19,0.106,0.611,0.335,0.198,0.153,0.162,0.349,0.384,0.1,0.1,0.257
STU_0033,Project Manager,3.0,3.21,0.012,0.16,0.06,0.16,0.441,0.0,0.0,0.076,0.243,0.293,0.266,0.376,0.636,1.0,0.753,1.0,0.501,0.201,0.235,0.373
STU_0034,Data Analyst,7.4,4.0,0.437,0.976,0.317,1.0,0.12,0.339,0.404,0.0,0.292,0.344,0.161,0.018,0.941,0.02,0.173,0.194,0.907,0.606,0.097,0.715
STU_0035,Project Manager,2.6,2.85,0.0,0.247,0.037,0.353,0.059,0.099,0.112,0.189,0.248,0.273,0.199,0.001,1.0,0.892,0.974,0.844,0.46,0.195,0.394,0.224
STU_0036,Data Scientist,4.4,3.05,1.0,0.546,0.791,0.986,0.322,0.391,0.294,0.335,0.284,0.176,0.041,0.179,0.554,0.273,0.321,0.422,0.256,0.339,0.155,0.728
STU_0037,Frontend Developer,5.9,3.34,0.24,0.041,0.068,0.295,0.333,0.752,1.0,0.42,0.202,0.413,0.321,0.319,0.986,0.094,0.552,0.092,0.162,0.0,0.169,0.118
STU_0038,Data Scientist,7.1,3.77,0.81,0.788,1.0,0.785,0.526,0.0,0.036,0.089,0.211,0.058,0.123,0.016,0.726,0.264,0.26,0.202,0.0,0.107,0.139,0.74
STU_0039,DevOps Engineer,2.9,2.72,0.722,0.052,0.302,0.296,0.079,0.327,0.176,0.0,0.268,0.933,0.866,0.894,0.092,0.292,0.793,0.225,0.254,0.027,0.066,0.0
STU_0040,Data Analyst,6.0,3.36,0.62,0.956,0.29,0.719,0.19,0.451,0.457,0.348,0.251,0.049,0.308,0.176,0.884,0.105,0.174,0.225,0.837,0.774,0.113,0.499
STU_0041,Frontend Developer,6.6,3.8,0.573,0.267,0.001,0.084,0.276,1.0,0.718,0.481,0.229,0.33,0.148,0.0,0.793,0.369,0.688,0.261,0.129,0.073,0.354,0.258
STU_0042,Frontend Developer,7.3,3.16,0.042,0.117,0.224,0.115,0.317,0.872,0.751,0.51,0.226,0.34,0.259,0.269,0.748,0.172,0.593,0.243,0.15,0.453,0.401,0.295
STU_0043,DevOps Engineer,0.6,3.36,0.411,0.168,0.215,0.234,0.27,0.338,0.096,0.098,0.418,1.0,0.841,0.884,0.185,0.205,0.871,0.58,0.228,0.299,0.0,0.127
STU_0044,ML Engineer,1.9,2.56,0.242,0.301,1.0,0.0,1.0,0.0,0.341,0.199,0.0,0.767,0.873,0.255,0.288,0.138,0.0,0.304,0.462,0.369,0.302,0.473
STU_0045,Data Analyst,5.6,2.98,0.607,0.959,0.0,1.0,0.29,0.118,0.174,0.0,0.15,0.201,0.225,0.257,0.837,0.16,0.243,0.35,0.786,0.748,0.172,0.603
STU_0046,Data Analyst,4.2,3.09,0.658,0.904,0.154,0.851,0.124,0.0,0.257,0.235,0.327,0.12,0.484,0.143,0.669,0.051,0.0,0.43,1.0,0.79,0.066,0.972
STU_0047,ML Engineer,8.0,2.6,1.0,0.299,1.0,0.237,0.74,0.108,0.0,0.158,0.372,0.79,0.703,0.051,0.234,0.352,0.265,0.225,0.08,0.33,0.13,0.757
STU_0048,ML Engineer,1.0,3.38,0.864,0.199,0.831,0.355,0.871,0.223,0.32,0.203,0.677,0.723,0.729,0.0,0.118,0.372,0.0,0.0,0.205,0.406,0.606,0.65
STU_0049,Frontend Developer,0.2,3.33,0.299,0.0,0.37,0.315,0.37,0.988,0.998,0.578,0.33,0.0,0.0,0.09,0.681,0.258,0.749,0.368,0.372,0.069,0.236,0.073
STU_0050,Data Analyst,6.4,3.09,0.089,1.0,0.285,0.811,0.489,0.148,0.22,0.127,0.448,0.184,0.222,0.381,0.888,0.192,0.367,0.581,0.848,0.718,0.226,0.897
STU_0051,Frontend Developer,6.7,3.48,0.0,0.022,0.122,0.192,0.465,0.98,0.763,0.391,0.406,0.369,0.204,0.134,0.869,0.051,0.759,0.541,0.231,0.084,0.262,0.129
STU_0052,Backend Developer,1.2,2.44,0.868,0.753,0.143,0.056,0.178,0.116,0.048,0.984,0.87,0.686,0.833,0.316,0.138,0.241,0.16,0.266,0.251,0.143,0.001,0.222
STU_0053,Data Analyst,2.7,3.58,0.676,1.0,0.579,0.841,0.119,0.034,0.231,0.23,0.078,0.174,0.0,0.339,0.684,0.195,0.0,0.113,0.758,0.698,0.272,0.916
STU_0054,ML Engineer,6.8,3.38,1.0,0.285,0.894,0.351,0.961,0.297,0.0,0.074,0.159,0.817,0.697,0.371,0.397,0.38,0.381,0.044,0.272,0.109,0.353,0.657
STU_0055,Data Analyst,1.4,3.53,0.903,0.927,0.567,0.927,0.203,0.008,0.367,0.125,0.103,0.392,0.374,0.37,0.746,0.192,0.191,0.317,1.0,0.755,0.496,0.835
STU_0056,ML Engineer,0.2,3.43,1.0,0.5,1.0,0.204,0.767,0.286,0.451,0.265,0.268,0.708,0.651,0.176,0.22,0.458,0.164,0.208,0.07,0.307,0.805,0.944
STU_0057,ML Engineer,5.0,2.57,0.877,0.279,0.947,0.209,0.821,0.268,0.156,0.164,0.456,1.0,0.519,0.011,0.056,0.185,0.334,0.289,0.226,0.279,0.496,0.663
STU_0058,ML Engineer,1.1,2.84,0.726,0.032,1.0,0.237,0.892,0.0,0.0,0.299,0.0,0.884,0.427,0.327,0.067,0.357,0.681,0.0,0.304,0.0,0.664,0.669
STU_0059,Frontend Developer,2.9,2.98,0.317,0.0,0.386,0.139,0.0,1.0,0.89,0.786,0.383,0.08,0.187,0.218,0.929,0.266,0.726,0.17,0.192,0.396,0.201,0.141
STU_0060,Data Scientist,4.9,3.29,0.69,0.587,1.0,0.869,0.706,0.0,0.285,0.176,0.128,0.227,0.126,0.0,0.838,0.236,0.153,0.055,0.0,0.234,0.442,0.83
STU_0061,Project Manager,4.8,3.14,0.192,0.33,0.291,0.0,0.282,0.049,0.0,0.172,0.262,0.0,0.306,0.315,0.907,0.77,0.653,1.0,0.473,0.36,0.175,0.186
STU_0062,Frontend Developer,4.9,3.51,0.292,0.0,0.275,0.213,0.103,1.0,0.57,0.552,0.443,0.416,0.258,0.155,0.605,0.155,0.782,0.079,0.314,0.52,0.191,0.0
STU_0063,Full Stack Developer,1.2,3.46,0.591,0.832,0.12,0.325,0.176,0.69,0.64,0.62,0.498,0.186,0.697,0.119,0.042,0.165,0.365,0.122,0.069,0.223,0.275,0.446
STU_0064,Project Manager,5.3,3.92,0.308,0.027,0.056,0.037,0.0,0.319,0.244,0.212,0.0,0.508,0.066,0.508,0.683,0.778,0.47,1.0,0.535,0.039,0.0,0.317
STU_0065,Full Stack Developer,2.0,3.09,0.497,0.733,0.007,0.15,0.122,0.87,0.853,0.949,0.074,0.35,0.593,0.151,0.094,0.116,0.461,0.246,0.226,0.161,0.567,0.396
STU_0066,Full Stack Developer,3.1,3.56,0.568,0.722,0.095,0.266,0.418,0.603,0.531,0.728,0.134,0.5,0.75,0.342,0.16,0.157,0.0,0.317,0.274,0.393,0.168,0.179
STU_0067,Data Scientist,5.5,3.91,0.679,0.81,0.897,0.741,0.287,0.18,0.417,0.451,0.253,0.494,0.194,0.343,0.632,0.123,0.098,0.0,0.393,0.104,0.08,0.623
STU_0068,Frontend Developer,3.2,2.89,0.514,0.0,0.147,0.045,0.348,0.943,0.805,0.511,0.128,0.442,0.282,0.3,0.3,0.19,1.0,0.399,0.0,0.153,0.02,0.457
STU_0069,DevOps Engineer,2.2,2.9,0.605,0.0,0.037,0.205,0.327,0.0,0.143,0.351,0.0,0.934,0.91,1.0,0.165,0.174,0.928,0.001,0.167,0.132,0.179,0.327
STU_0070,Data Analyst,5.6,3.79,0.621,1.0,0.075,0.922,0.171,0.191,0.0,0.412,0.084,0.354,0.107,0.106,0.982,0.349,0.231,0.314,0.757,0.699,0.101,0.836
STU_0071,Data Scientist,0.0,3.01,0.853,0.703,1.0,0.904,0.555,0.195,0.334,0.101,0.181,0.202,0.33,0.185,0.971,0.177,0.164,0.174,0.003,0.044,0.12,0.97
STU_0072,Data Analyst,0.6,3.22,0.784,1.0,0.388,0.772,0.126,0.472,0.236,0.16,0.308,0.351,0.114,0.233,0.939,0.026,0.202,0.033,0.652,0.616,0.272,0.652
STU_0073,Full Stack Developer,5.5,3.69,0.428,0.764,0.37,0.188,0.17,0.856,0.396,0.881,0.665,0.182,0.582,0.312,0.447,0.346,0.0,0.285,0.586,0.293,0.027,0.242
STU_0074,Full Stack Developer,3.2,3.71,0.457,0.711,0.071,0.118,0.423,0.816,0.616,0.628,0.0,0.012,0.617,0.347,0.116,0.436,0.092,0.164,0.038,0.349,0.515,0.0
STU_0075,Backend Developer,1.3,3.78,0.483,0.885,0.383,0.212,0.283,0.464,0.492,0.691,0.72,0.462,0.847,0.0,0.162,0.215,0.125,0.242,0.585,0.182,0.135,0.352
STU_0076,ML Engineer,3.8,4.0,0.925,0.163,0.632,0.0,0.525,0.257,0.0,0.388,0.205,0.663,0.573,0.293,0.079,0.052,0.378,0.253,0.165,0.296,0.601,0.757
STU_0077,Frontend Developer,4.0,2.94,0.113,0.433,0.172,0.321,0.31,1.0,0.774,0.661,0.477,0.161,0.205,0.121,0.648,0.457,0.549,0.059,0.442,0.294,0.518,0.132
STU_0078,Frontend Developer,3.6,3.67,0.221,0.0,0.303,0.249,0.191,0.841,0.766,0.609,0.024,0.277,0.511,0.423,0.474,0.119,0.763,0.189,0.0,0.258,0.198,0.487
STU_0079,Frontend Developer,1.4,3.96,0.01,0.046,0.308,0.363,0.056,0.904,0.693,0.473,0.326,0.135,0.163,0.031,0.603,0.464,0.711,0.05,0.153,0.0,0.048,0.404
STU_0080,Frontend Developer,1.8,3.44,0.186,0.195,0.296,0.0,0.231,0.893,1.0,0.645,0.03,0.386,0.161,0.064,0.73,0.17,0.931,0.251,0.231,0.335,0.364,0.318
STU_0081,Backend Developer,5.6,3.09,0.725,0.986,0.186,0.205,0.458,0.443,0.199,0.632,1.0,0.72,0.747,0.152,0.25,0.197,0.1,0.219,0.24,0.144,0.336,0.393
STU_0082,Data Scientist,7.9,3.46,1.0,0.712,0.715,1.0,0.622,0.589,0.419,0.307,0.237,0.225,0.049,0.0,0.569,0.193,0.0,0.118,0.163,0.168,0.101,0.749
STU_0083,Frontend Developer,3.5,2.98,0.116,0.19,0.196,0.085,0.085,1.0,0.837,0.336,0.194,0.218,0.0,0.194,0.83,0.268,1.0,0.388,0.417,0.62,0.314,0.224
STU_0084,Frontend Developer,2.2,3.71,0.216,0.103,0.26,0.102,0.097,0.962,0.879,0.211,0.0,0.028,0.068,0.262,0.733,0.36,0.813,0.361,0.291,0.231,0.365,0.338
STU_0085,ML Engineer,6.7,3.2,0.548,0.156,0.854,0.373,1.0,0.0,0.412,0.024,0.029,0.665,0.652,0.0,0.297,0.302,0.358,0.135,0.194,0.195,0.853,0.275
STU_0086,Project Manager,2.7,3.79,0.037,0.161,0.181,0.101,0.21,0.294,0.165,0.132,0.175,0.199,0.0,0.269,0.832,1.0,0.889,1.0,0.548,0.144,0.014,0.094
STU_0087,DevOps Engineer,4.7,2.96,0.428,0.131,0.189,0.288,0.0,0.0,0.273,0.0,0.133,0.924,0.962,0.879,0.145,0.327,0.843,0.103,0.206,0.257,0.458,0.318
STU_0088,Project Manager,0.5,3.23,0.121,0.165,0.178,0.049,0.39,0.333,0.154,0.296,0.233,0.308,0.0,0.178,0.891,0.994,0.706,0.575,0.538,0.191,0.21,0.453
STU_0089,Data Analyst,4.2,3.5,0.595,1.0,0.111,0.879,0.037,0.413,0.259,0.094,0.183,0.276,0.162,0.12,0.702,0.251,0.146,0.132,0.6,0.712,0.173,0.652
STU_0090,Data Scientist,5.0,3.99,1.0,0.783,0.864,0.815,0.443,0.111,0.203,0.082,0.214,0.055,0.0,0.323,0.629,0.074,0.036,0.263,0.406,0.14,0.168,0.961
STU_0091,Project Manager,3.0,2.65,0.567,0.0,0.185,0.092,0.16,0.137,0.322,0.183,0.063,0.174,0.277,0.022,0.653,1.0,0.704,0.929,0.64,0.282,0.466,0.287
STU_0092,Backend Developer,2.8,2.79,0.64,0.76,0.0,0.323,0.037,0.424,0.473,0.663,0.866,0.415,0.794,0.125,0.037,0.157,0.13,0.151,0.342,0.082,0.46,0.001
STU_0093,DevOps Engineer,1.0,3.64,0.6,0.126,0.148,0.32,0.425,0.379,0.139,0.228,0.083,0.751,0.728,0.834,0.237,0.0,0.793,0.427,0.368,0.112,0.0,0.269
STU_0094,Backend Developer,4.8,3.19,0.668,1.0,0.0,0.338,0.185,0.15,0.0,0.789,0.901,0.868,0.851,0.111,0.049,0.0,0.421,0.083,0.422,0.279,0.249,0.154
STU_0095,Backend Developer,4.0,3.41,0.645,0.904,0.178,0.08,0.29,0.19,0.273,0.632,0.619,0.86,0.932,0.333,0.142,0.155,0.407,0.147,0.105,0.481,0.193,0.465
STU_0096,Backend Developer,3.2,3.34,1.0,0.804,0.16,0.025,0.362,0.084,0.186,0.515,1.0,0.773,0.695,0.027,0.43,0.145,0.034,0.0,0.103,0.0,0.107,0.312
STU_0097,Frontend Developer,4.8,3.3,0.091,0.21,0.488,0.148,0.258,0.665,1.0,0.428,0.358,0.182,0.292,0.301,0.632,0.364,0.586,0.317,0.141,0.252,0.131,0.207
STU_0098,Data Analyst,0.0,3.34,0.607,0.819,0.192,0.92,0.108,0.181,0.049,0.552,0.359,0.241,0.376,0.0,0.416,0.14,0.0,0.165,0.831,0.838,0.029,0.76
STU_0099,DevOps Engineer,1.7,4.0,0.522,0.407,0.184,0.466,0.081,0.311,0.191,0.151,0.295,0.855,0.501,0.441,0.391,0.385,1.0,0.197,0.006,0.137,0.202,0.049
STU_0100,Data Scientist,3.1,2.52,0.972,0.698,0.706,1.0,0.611,0.157,0.272,0.112,0.222,0.0,0.363,0.184,0.874,0.17,0.18,0.018,0.314,0.069,0.127,0.8
STU_0101,ML Engineer,0.9,2.91,0.865,0.319,0.843,0.166,0.824,0.181,0.045,0.195,0.349,0.542,0.644,0.0,0.341,0.186,0.072,0.214,0.019,0.045,0.381,0.54
STU_0102,Full Stack Developer,2.7,3.19,0.67,0.575,0.314,0.046,0.206,0.808,1.0,0.895,0.111,0.303,0.921,0.0,0.074,0.164,0.137,0.15,0.004,0.411,0.0,0.17
STU_0103,Data Analyst,7.6,3.98,0.453,0.698,0.166,0.786,0.231,0.0,0.322,0.217,0.228,0.416,0.134,0.091,0.718,0.171,0.186,0.075,0.497,0.616,0.254,0.72
STU_0104,Project Manager,6.8,4.0,0.314,0.407,0.315,0.456,0.478,0.343,0.306,0.169,0.194,0.149,0.293,0.092,0.871,0.547,1.0,0.917,0.768,0.419,0.245,0.417
STU_0105,Data Analyst,5.7,2.99,0.763,0.931,0.414,0.725,0.157,0.417,0.0,0.284,0.28,0.495,0.0,0.441,0.716,0.133,0.017,0.037,0.861,0.533,0.311,0.601
STU_0106,DevOps Engineer,1.3,3.04,0.651,0.158,0.205,0.304,0.362,0.153,0.043,0.211,0.271,0.681,0.766,0.792,0.169,0.086,0.906,0.0,0.0,0.15,0.174,0.0
STU_0107,Project Manager,6.3,3.02,0.141,0.223,0.101,0.422,0.273,0.079,0.214,0.219,0.382,0.11,0.315,0.206,1.0,1.0,0.83,0.911,0.776,0.173,0.452,0.212
STU_0108,DevOps Engineer,3.0,4.0,0.418,0.283,0.077,0.365,0.006,0.219,0.373,0.0,0.503,0.836,0.921,0.986,0.309,0.241,0.95,0.278,0.464,0.278,0.495,0.335
STU_0109,Frontend Developer,0.4,2.84,0.114,0.424,0.204,0.359,0.097,0.994,0.862,0.737,0.266,0.34,0.0,0.187,0.762,0.234,0.844,0.145,0.207,0.377,0.0,0.288
STU_0110,Data Analyst,5.3,3.7,0.65,1.0,0.356,0.88,0.331,0.33,0.187,0.096,0.105,0.326,0.194,0.043,0.547,0.325,0.118,0.25,0.986,0.504,0.193,0.674
STU_0111,ML Engineer,5.1,2.54,0.701,0.285,1.0,0.172,0.779,0.263,0.252,0.287,0.284,0.553,0.849,0.375,0.228,0.0,0.183,0.229,0.028,0.146,0.389,0.791
STU_0112,Frontend Developer,0.3,3.12,0.253,0.192,0.277,0.141,0.08,0.784,0.819,0.503,0.222,0.171,0.137,0.147,1.0,0.084,0.616,0.694,0.263,0.0,0.326,0.063
STU_0113,DevOps Engineer,0.4,3.47,0.534,0.441,0.285,0.346,0.265,0.133,0.292,0.381,0.22,1.0,1.0,0.932,0.238,0.221,0.612,0.186,0.233,0.138,0.251,0.203
STU_0114,ML Engineer,0.7,2.84,0.925,0.0,1.0,0.179,0.788,0.149,0.127,0.432,0.408,0.767,0.684,0.293,0.211,0.171,0.251,0.134,0.238,0.231,0.69,0.607
STU_0115,DevOps Engineer,1.0,3.08,0.514,0.121,0.039,0.352,0.055,0.095,0.388,0.114,0.172,0.748,1.0,1.0,0.311,0.281,0.811,0.121,0.078,0.393,0.315,0.096
STU_0116,Data Analyst,5.9,2.75,0.431,0.927,0.138,0.757,0.0,0.0,0.144,0.187,0.069,0.298,0.19,0.287,0.773,0.082,0.217,0.011,0.881,0.559,0.338,0.649
STU_0117,Frontend Developer,1.1,3.24,0.098,0.257,0.376,0.45,0.206,1.0,0.857,0.665,0.059,0.263,0.0,0.032,0.77,0.003,0.764,0.336,0.125,0.055,0.129,0.055
STU_0118,Data Scientist,6.5,4.0,0.854,0.951,0.792,1.0,0.444,0.211,0.377,0.37,0.137,0.283,0.263,0.119,0.792,0.479,0.271,0.285,0.301,0.0,0.269,0.647
STU_0119,DevOps Engineer,7.3,3.22,0.562,0.089,0.373,0.058,0.133,0.387,0.206,0.0,0.282,0.841,1.0,0.809,0.358,0.466,0.672,0.171,0.258,0.071,0.241,0.166
STU_0120,Full Stack Developer,4.3,2.18,0.611,0.725,0.11,0.117,0.182,0.793,0.634,0.849,0.0,0.09,0.558,0.072,0.444,0.203,0.227,0.128,0.198,0.018,0.175,0.059
STU_0121,DevOps Engineer,6.2,3.12,0.431,0.42,0.325,0.398,0.408,0.301,0.132,0.044,0.372,0.91,1.0,0.845,0.496,0.176,1.0,0.455,0.047,0.127,0.045,0.016
STU_0122,Backend Developer,0.9,3.18,0.708,0.883,0.0,0.393,0.148,0.28,0.293,0.906,0.784,0.281,0.709,0.23,0.045,0.222,0.146,0.0,0.301,0.115,0.139,0.131
STU_0123,DevOps Engineer,5.2,3.48,0.612,0.134,0.269,0.402,0.297,0.303,0.291,0.0,0.069,0.869,0.791,0.74,0.0,0.0,0.762,0.19,0.081,0.212,0.135,0.364
STU_0124,Backend Developer,6.5,2.09,0.73,0.59,0.186,0.015,0.184,0.088,0.257,0.499,0.802,0.686,0.836,0.085,0.203,0.228,0.432,0.0,0.063,0.621,0.159,0.0
STU_0125,Frontend Developer,6.5,2.91,0.236,0.321,0.063,0.129,0.339,0.637,0.702,0.466,0.087,0.156,0.01,0.232,0.678,0.282,0.73,0.231,0.0,0.274,0.15,0.175
STU_0126,Frontend Developer,7.6,3.51,0.403,0.417,0.313,0.053,0.0,1.0,0.917,0.388,0.376,0.071,0.136,0.279,0.533,0.184,0.863,0.232,0.387,0.37,0.201,0.0
STU_0127,ML Engineer,3.4,3.69,0.667,0.151,0.951,0.42,0.714,0.103,0.192,0.253,0.177,0.857,0.58,0.218,0.267,0.14,0.326,0.222,0.318,0.229,0.656,0.605
STU_0128,Project Manager,3.6,3.09,0.295,0.047,0.227,0.0,0.114,0.344,0.181,0.218,0.0,0.141,0.251,0.27,1.0,0.868,0.775,0.75,0.669,0.011,0.0,0.037
STU_0129,DevOps Engineer,4.1,3.37,0.633,0.123,0.0,0.34,0.0,0.117,0.192,0.235,0.091,0.624,0.78,0.788,0.084,0.346,0.618,0.245,0.224,0.344,0.18,0.319
STU_0130,ML Engineer,2.1,2.81,0.675,0.0,0.957,0.265,0.871,0.121,0.423,0.131,0.263,0.789,0.958,0.152,0.102,0.0,0.433,0.263,0.268,0.668,0.649,0.505
STU_0131,Full Stack Developer,6.5,2.88,0.541,0.64,0.112,0.0,0.439,0.845,0.666,0.914,0.271,0.241,0.703,0.22,0.301,0.313,0.224,0.167,0.43,0.128,0.259,0.262
STU_0132,ML Engineer,0.7,3.65,0.847,0.126,0.681,0.102,0.84,0.39,0.283,0.0,0.296,0.616,0.768,0.198,0.171,0.185,0.197,0.402,0.197,0.363,0.741,0.8
STU_0133,Data Analyst,3.3,3.13,0.531,1.0,0.054,0.722,0.496,0.056,0.372,0.218,0.137,0.193,0.005,0.198,0.638,0.141,0.339,0.238,0.578,0.828,0.199,0.619
STU_0134,ML Engineer,2.5,3.12,0.725,0.477,0.897,0.188,0.739,0.377,0.121,0.0,0.098,0.899,0.825,0.162,0.406,0.312,0.16,0.175,0.249,0.075,0.601,0.746
