job_id,title,company,salary_lpa,req_python,req_sql,req_machine_learning,req_data_analysis,req_deep_learning,req_javascript,req_react,req_node_js,req_java,req_aws,req_docker,req_kubernetes,req_communication,req_teamwork,req_problem_solving,req_project_management,req_excel,req_tableau,req_spark,req_statistics
JOB_0015,ML Engineer,Company_16,9.2,0.9,0.125,0.9,0.11,0.8,0.098,0.114,0.206,0.089,0.7,0.7,0.144,0.099,0.161,0.255,0.196,0.241,0.16,0.6,0.7
JOB_0016,ML Engineer,Company_44,11.1,0.9,0.258,0.9,0.184,0.8,0.218,0.025,0.281,0.041,0.7,0.7,0.178,0.235,0.239,0.284,0.076,0.177,0.029,0.6,0.7
JOB_0017,ML Engineer,Company_34,22.2,0.9,0.157,0.9,0.24,0.8,0.18,0.279,0.036,0.035,0.7,0.7,0.126,0.232,0.201,0.1,0.27,0.229,0.081,0.6,0.7
JOB_0018,Frontend Developer,Company_10,9.4,0.281,0.131,0.115,0.219,0.166,0.9,0.9,0.5,0.113,0.296,0.215,0.285,0.7,0.255,0.7,0.037,0.176,0.206,0.004,0.136
JOB_0019,DevOps Engineer,Company_49,13.9,0.6,0.133,0.091,0.276,0.234,0.033,0.299,0.264,0.085,0.9,0.9,0.9,0.2,0.195,0.8,0.269,0.009,0.072,0.043,0.233
JOB_0020,Full Stack Developer,Company_12,32.3,0.6,0.7,0.002,0.015,0.182,0.8,0.7,0.8,0.017,0.24,0.6,0.232,0.209,0.251,0.012,0.061,0.037,0.151,0.224,0.189
JOB_0021,Data Scientist,Company_51,9.7,0.9,0.7,0.9,0.9,0.6,0.183,0.016,0.185,0.013,0.265,0.213,0.052,0.7,0.055,0.294,0.138,0.235,0.191,0.172,0.8
JOB_0022,ML Engineer,Company_56,14.0,0.9,0.21,0.9,0.282,0.8,0.153,0.121,0.142,0.036,0.7,0.7,0.091,0.128,0.183,0.19,0.124,0.123,0.065,0.6,0.7
JOB_0023,Project Manager,Company_03,17.6,0.142,0.068,0.172,0.17,0.211,0.194,0.196,0.095,0.236,0.165,0.129,0.188,0.9,0.9,0.8,0.95,0.7,0.151,0.156,0.24
JOB_0024,ML Engineer,Company_19,30.1,0.9,0.035,0.9,0.253,0.8,0.084,0.1,0.052,0.094,0.7,0.7,0.248,0.257,0.112,0.046,0.18,0.036,0.109,0.6,0.7
JOB_0025,Backend Developer,Company_46,14.3,0.7,0.8,0.116,0.192,0.003,0.063,0.158,0.7,0.8,0.6,0.7,0.167,0.252,0.297,0.042,0.134,0.118,0.024,0.227,0.13
JOB_0026,Backend Developer,Company_28,9.5,0.7,0.8,0.013,0.07,0.088,0.147,0.176,0.7,0.8,0.6,0.7,0.191,0.195,0.201,0.229,0.017,0.11,0.162,0.102,0.253
JOB_0027,Frontend Developer,Company_29,28.1,0.256,0.151,0.273,0.176,0.255,0.9,0.9,0.5,0.031,0.12,0.275,0.189,0.7,0.102,0.7,0.007,0.278,0.134,0.092,0.18
JOB_0028,Data Analyst,Company_01,13.3,0.6,0.9,0.295,0.9,0.143,0.228,0.271,0.216,0.289,0.235,0.26,0.034,0.8,0.132,0.166,0.196,0.8,0.7,0.086,0.7
JOB_0029,Project Manager,Company_45,15.4,0.037,0.012,0.233,0.147,0.296,0.139,0.293,0.123,0.238,0.025,0.167,0.241,0.9,0.9,0.8,0.95,0.7,0.033,0.203,0.214
JOB_0030,DevOps Engineer,Company_46,31.0,0.6,0.24,0.015,0.07,0.187,0.257,0.001,0.154,0.203,0.9,0.9,0.9,0.201,0.071,0.8,0.104,0.256,0.09,0.177,0.119
JOB_0031,Data Scientist,Company_17,31.6,0.9,0.7,0.9,0.9,0.6,0.3,0.089,0.122,0.041,0.172,0.299,0.21,0.7,0.118,0.275,0.149,0.04,0.11,0.02,0.8
JOB_0032,Data Analyst,Company_02,18.6,0.6,0.9,0.126,0.9,0.226,0.162,0.085,0.269,0.071,0.098,0.273,0.159,0.8,0.177,0.196,0.09,0.8,0.7,0.047,0.7
JOB_0033,Data Scientist,Company_17,21.8,0.9,0.7,0.9,0.9,0.6,0.202,0.244,0.271,0.236,0.056,0.169,0.031,0.7,0.287,0.154,0.13,0.011,0.288,0.031,0.8
JOB_0034,Data Scientist,Company_15,7.0,0.9,0.7,0.9,0.9,0.6,0.115,0.018,0.209,0.062,0.091,0.118,0.125,0.7,0.034,0.259,0.0,0.152,0.147,0.1,0.8
JOB_0035,Data Analyst,Company_47,30.2,0.6,0.9,0.073,0.9,0.205,0.068,0.099,0.279,0.015,0.138,0.213,0.045,0.8,0.041,0.276,0.003,0.8,0.7,0.033,0.7
JOB_0036,Backend Developer,Company_15,22.1,0.7,0.8,0.001,0.256,0.186,0.049,0.232,0.7,0.8,0.6,0.7,0.181,0.295,0.108,0.244,0.096,0.24,0.18,0.065,0.124
JOB_0037,DevOps Engineer,Company_19,7.3,0.6,0.104,0.006,0.05,0.218,0.212,0.222,0.095,0.267,0.9,0.9,0.9,0.208,0.052,0.8,0.298,0.001,0.005,0.298,0.175
JOB_0038,Backend Developer,Company_08,31.9,0.7,0.8,0.187,0.082,0.015,0.178,0.088,0.7,0.8,0.6,0.7,0.069,0.262,0.076,0.183,0.166,0.119,0.203,0.218,0.17
JOB_0039,Frontend Developer,Company_45,34.5,0.126,0.154,0.004,0.239,0.156,0.9,0.9,0.5,0.119,0.205,0.045,0.288,0.7,0.06,0.7,0.274,0.064,0.141,0.22,0.264
JOB_0040,DevOps Engineer,Company_23,20.5,0.6,0.219,0.235,0.171,0.031,0.271,0.26,0.239,0.03,0.9,0.9,0.9,0.294,0.113,0.8,0.266,0.118,0.096,0.183,0.174
JOB_0041,Backend Developer,Company_25,23.1,0.7,0.8,0.059,0.113,0.118,0.039,0.049,0.7,0.8,0.6,0.7,0.03,0.226,0.264,0.083,0.061,0.056,0.157,0.141,0.078
JOB_0042,ML Engineer,Company_03,19.4,0.9,0.196,0.9,0.033,0.8,0.088,0.229,0.263,0.27,0.7,0.7,0.286,0.022,0.041,0.091,0.166,0.029,0.254,0.6,0.7
JOB_0043,Data Analyst,Company_10,12.6,0.6,0.9,0.175,0.9,0.089,0.111,0.121,0.228,0.232,0.062,0.282,0.036,0.8,0.03,0.079,0.254,0.8,0.7,0.135,0.7
JOB_0044,Project Manager,Company_42,30.5,0.262,0.102,0.159,0.075,0.073,0.048,0.282,0.266,0.233,0.155,0.147,0.159,0.9,0.9,0.8,0.95,0.7,0.145,0.286,0.049
JOB_0045,Frontend Developer,Company_33,11.2,0.076,0.009,0.036,0.275,0.096,0.9,0.9,0.5,0.16,0.056,0.297,0.245,0.7,0.141,0.7,0.276,0.102,0.015,0.103,0.238
JOB_0046,DevOps Engineer,Company_37,27.5,0.6,0.064,0.277,0.131,0.192,0.001,0.298,0.084,0.019,0.9,0.9,0.9,0.19,0.118,0.8,0.096,0.218,0.138,0.198,0.18
JOB_0047,Data Scientist,Company_28,33.5,0.9,0.7,0.9,0.9,0.6,0.135,0.268,0.225,0.298,0.159,0.198,0.091,0.7,0.11,0.222,0.121,0.169,0.216,0.153,0.8
JOB_0048,Frontend Developer,Company_25,24.4,0.103,0.122,0.132,0.038,0.028,0.9,0.9,0.5,0.006,0.098,0.059,0.233,0.7,0.074,0.7,0.039,0.083,0.042,0.085,0.202
JOB_0049,Project Manager,Company_54,11.1,0.163,0.21,0.286,0.183,0.077,0.188,0.096,0.293,0.12,0.206,0.007,0.12,0.9,0.9,0.8,0.95,0.7,0.097,0.163,0.147
JOB_0050,Backend Developer,Company_38,15.0,0.7,0.8,0.277,0.253,0.293,0.223,0.229,0.7,0.8,0.6,0.7,0.193,0.087,0.077,0.176,0.123,0.066,0.245,0.258,0.05
JOB_0051,Frontend Developer,Company_01,15.1,0.239,0.252,0.041,0.232,0.035,0.9,0.9,0.5,0.046,0.127,0.186,0.28,0.7,0.021,0.7,0.237,0.081,0.265,0.199,0.034
JOB_0052,DevOps Engineer,Company_50,10.3,0.6,0.166,0.15,0.206,0.196,0.298,0.3,0.155,0.029,0.9,0.9,0.9,0.138,0.127,0.8,0.202,0.106,0.236,0.25,0.246
JOB_0053,Project Manager,Company_25,14.6,0.225,0.24,0.147,0.268,0.043,0.264,0.029,0.046,0.16,0.02,0.016,0.0,0.9,0.9,0.8,0.95,0.7,0.05,0.044,0.258
JOB_0054,Frontend Developer,Company_49,21.2,0.246,0.028,0.118,0.221,0.077,0.9,0.9,0.5,0.139,0.11,0.066,0.063,0.7,0.036,0.7,0.053,0.053,0.247,0.12,0.297
JOB_0055,Full Stack Developer,Company_09,24.6,0.6,0.7,0.263,0.293,0.262,0.8,0.7,0.8,0.087,0.22,0.6,0.165,0.249,0.213,0.008,0.015,0.18,0.146,0.078,0.126
JOB_0056,Frontend Developer,Company_45,29.8,0.168,0.116,0.081,0.157,0.094,0.9,0.9,0.5,0.0,0.064,0.268,0.194,0.7,0.267,0.7,0.143,0.281,0.018,0.065,0.176
JOB_0057,Backend Developer,Company_12,25.4,0.7,0.8,0.062,0.127,0.053,0.04,0.258,0.7,0.8,0.6,0.7,0.079,0.183,0.062,0.267,0.279,0.03,0.032,0.035,0.186
JOB_0058,Backend Developer,Company_08,30.6,0.7,0.8,0.158,0.299,0.013,0.12,0.097,0.7,0.8,0.6,0.7,0.294,0.15,0.148,0.291,0.114,0.119,0.175,0.038,0.096
JOB_0059,ML Engineer,Company_12,8.1,0.9,0.177,0.9,0.123,0.8,0.19,0.278,0.28,0.117,0.7,0.7,0.17,0.139,0.198,0.166,0.096,0.104,0.114,0.6,0.7
JOB_0060,Data Analyst,Company_43,16.7,0.6,0.9,0.227,0.9,0.248,0.278,0.179,0.201,0.016,0.284,0.118,0.277,0.8,0.001,0.012,0.204,0.8,0.7,0.223,0.7
JOB_0061,ML Engineer,Company_30,19.0,0.9,0.236,0.9,0.264,0.8,0.17,0.081,0.048,0.232,0.7,0.7,0.29,0.289,0.257,0.056,0.178,0.263,0.112,0.6,0.7
JOB_0062,Data Analyst,Company_29,21.9,0.6,0.9,0.127,0.9,0.125,0.036,0.238,0.251,0.085,0.091,0.262,0.007,0.8,0.139,0.207,0.049,0.8,0.7,0.186,0.7
JOB_0063,Data Analyst,Company_28,20.7,0.6,0.9,0.057,0.9,0.029,0.284,0.121,0.243,0.292,0.024,0.196,0.261,0.8,0.129,0.129,0.011,0.8,0.7,0.288,0.7
JOB_0064,ML Engineer,Company_42,14.1,0.9,0.014,0.9,0.251,0.8,0.018,0.25,0.047,0.16,0.7,0.7,0.119,0.134,0.019,0.291,0.093,0.057,0.086,0.6,0.7
JOB_0065,DevOps Engineer,Company_52,26.2,0.6,0.293,0.253,0.283,0.038,0.239,0.164,0.163,0.27,0.9,0.9,0.9,0.137,0.116,0.8,0.117,0.027,0.023,0.234,0.134
JOB_0066,ML Engineer,Company_55,23.4,0.9,0.047,0.9,0.293,0.8,0.155,0.281,0.293,0.071,0.7,0.7,0.019,0.059,0.171,0.274,0.161,0.188,0.061,0.6,0.7
JOB_0067,DevOps Engineer,Company_51,33.5,0.6,0.027,0.068,0.131,0.284,0.113,0.231,0.162,0.055,0.9,0.9,0.9,0.13,0.069,0.8,0.051,0.281,0.056,0.032,0.149
JOB_0068,Data Analyst,Company_31,20.2,0.6,0.9,0.146,0.9,0.127,0.02,0.178,0.068,0.191,0.015,0.294,0.141,0.8,0.143,0.018,0.247,0.8,0.7,0.128,0.7
JOB_0069,ML Engineer,Company_51,23.9,0.9,0.199,0.9,0.288,0.8,0.128,0.244,0.152,0.221,0.7,0.7,0.224,0.039,0.06,0.188,0.224,0.268,0.082,0.6,0.7
JOB_0070,Full Stack Developer,Company_10,10.9,0.6,0.7,0.265,0.228,0.212,0.8,0.7,0.8,0.044,0.082,0.6,0.038,0.165,0.212,0.021,0.144,0.235,0.224,0.245,0.134
JOB_0071,Backend Developer,Company_49,12.2,0.7,0.8,0.14,0.118,0.072,0.226,0.094,0.7,0.8,0.6,0.7,0.111,0.071,0.229,0.279,0.149,0.193,0.26,0.3,0.184
JOB_0072,Backend Developer,Company_53,32.3,0.7,0.8,0.024,0.005,0.143,0.148,0.122,0.7,0.8,0.6,0.7,0.068,0.238,0.254,0.298,0.262,0.267,0.094,0.12,0.08
JOB_0073,Full Stack Developer,Company_36,33.2,0.6,0.7,0.089,0.051,0.059,0.8,0.7,0.8,0.25,0.204,0.6,0.053,0.244,0.079,0.274,0.042,0.203,0.244,0.071,0.083
JOB_0074,Frontend Developer,Company_57,12.9,0.129,0.13,0.076,0.233,0.232,0.9,0.9,0.5,0.001,0.171,0.298,0.012,0.7,0.156,0.7,0.027,0.119,0.224,0.111,0.057
JOB_0075,ML Engineer,Company_12,17.3,0.9,0.259,0.9,0.207,0.8,0.124,0.121,0.277,0.074,0.7,0.7,0.029,0.14,0.06,0.056,0.139,0.087,0.239,0.6,0.7
JOB_0076,DevOps Engineer,Company_16,13.2,0.6,0.041,0.283,0.121,0.067,0.254,0.12,0.011,0.049,0.9,0.9,0.9,0.275,0.255,0.8,0.068,0.015,0.26,0.092,0.186
JOB_0077,Data Analyst,Company_45,8.8,0.6,0.9,0.219,0.9,0.263,0.158,0.223,0.246,0.225,0.086,0.035,0.072,0.8,0.152,0.175,0.119,0.8,0.7,0.074,0.7
JOB_0078,Frontend Developer,Company_41,20.7,0.057,0.239,0.288,0.217,0.275,0.9,0.9,0.5,0.142,0.296,0.028,0.124,0.7,0.085,0.7,0.115,0.294,0.265,0.09,0.231
JOB_0079,ML Engineer,Company_20,23.2,0.9,0.249,0.9,0.066,0.8,0.169,0.149,0.017,0.104,0.7,0.7,0.119,0.284,0.015,0.225,0.077,0.26,0.224,0.6,0.7
JOB_0080,Data Analyst,Company_32,28.4,0.6,0.9,0.008,0.9,0.213,0.191,0.223,0.159,0.143,0.135,0.192,0.06,0.8,0.244,0.105,0.174,0.8,0.7,0.271,0.7
JOB_0081,Full Stack Developer,Company_20,10.1,0.6,0.7,0.036,0.021,0.297,0.8,0.7,0.8,0.174,0.232,0.6,0.265,0.192,0.157,0.214,0.134,0.104,0.14,0.051,0.239
JOB_0082,Full Stack Developer,Company_16,9.6,0.6,0.7,0.099,0.206,0.257,0.8,0.7,0.8,0.065,0.207,0.6,0.089,0.171,0.087,0.166,0.187,0.183,0.187,0.041,0.208
JOB_0083,Data Analyst,Company_40,25.5,0.6,0.9,0.123,0.9,0.067,0.132,0.223,0.071,0.249,0.164,0.228,0.142,0.8,0.186,0.278,0.148,0.8,0.7,0.221,0.7
JOB_0084,Backend Developer,Company_31,19.4,0.7,0.8,0.14,0.289,0.135,0.054,0.065,0.7,0.8,0.6,0.7,0.22,0.01,0.171,0.046,0.282,0.05,0.188,0.098,0.192
JOB_0085,Frontend Developer,Company_25,27.8,0.069,0.272,0.15,0.227,0.255,0.9,0.9,0.5,0.075,0.079,0.175,0.298,0.7,0.158,0.7,0.258,0.28,0.061,0.159,0.25
JOB_0086,ML Engineer,Company_18,18.2,0.9,0.296,0.9,0.24,0.8,0.096,0.164,0.168,0.152,0.7,0.7,0.225,0.1,0.099,0.038,0.057,0.255,0.134,0.6,0.7
JOB_0087,Project Manager,Company_33,5.6,0.095,0.053,0.197,0.083,0.019,0.016,0.175,0.007,0.255,0.047,0.182,0.133,0.9,0.9,0.8,0.95,0.7,0.054,0.271,0.165
JOB_0088,DevOps Engineer,Company_09,11.1,0.6,0.217,0.18,0.286,0.148,0.09,0.143,0.108,0.067,0.9,0.9,0.9,0.006,0.132,0.8,0.183,0.233,0.243,0.214,0.031
JOB_0089,Full Stack Developer,Company_29,23.1,0.6,0.7,0.067,0.136,0.124,0.8,0.7,0.8,0.06,0.279,0.6,0.277,0.286,0.004,0.229,0.291,0.272,0.291,0.165,0.023
JOB_0090,Data Scientist,Company_51,23.4,0.9,0.7,0.9,0.9,0.6,0.023,0.219,0.255,0.142,0.153,0.094,0.291,0.7,0.111,0.052,0.066,0.139,0.283,0.22,0.8
JOB_0091,Project Manager,Company_51,16.3,0.256,0.073,0.186,0.278,0.077,0.208,0.296,0.045,0.027,0.202,0.102,0.021,0.9,0.9,0.8,0.95,0.7,0.156,0.253,0.134
JOB_0092,Full Stack Developer,Company_57,24.5,0.6,0.7,0.147,0.042,0.046,0.8,0.7,0.8,0.042,0.132,0.6,0.157,0.084,0.01,0.184,0.112,0.195,0.033,0.004,0.074
JOB_0093,Frontend Developer,Company_27,16.8,0.243,0.113,0.159,0.178,0.007,0.9,0.9,0.5,0.03,0.235,0.283,0.007,0.7,0.229,0.7,0.236,0.19,0.279,0.294,0.013
JOB_0094,Frontend Developer,Company_27,21.4,0.044,0.101,0.296,0.005,0.136,0.9,0.9,0.5,0.293,0.142,0.039,0.016,0.7,0.08,0.7,0.027,0.127,0.279,0.151,0.291
JOB_0095,Project Manager,Company_16,20.1,0.258,0.134,0.084,0.257,0.117,0.159,0.293,0.056,0.09,0.009,0.118,0.06,0.9,0.9,0.8,0.95,0.7,0.105,0.215,0.14
JOB_0096,DevOps Engineer,Company_22,30.6,0.6,0.064,0.27,0.103,0.012,0.148,0.037,0.072,0.224,0.9,0.9,0.9,0.182,0.213,0.8,0.298,0.102,0.049,0.156,0.16
JOB_0097,Full Stack Developer,Company_11,23.4,0.6,0.7,0.079,0.012,0.032,0.8,0.7,0.8,0.084,0.058,0.6,0.116,0.102,0.098,0.027,0.008,0.061,0.227,0.297,0.279
JOB_0098,Data Scientist,Company_30,21.0,0.9,0.7,0.9,0.9,0.6,0.13,0.23,0.242,0.093,0.279,0.028,0.298,0.7,0.028,0.197,0.01,0.231,0.24,0.181,0.8
JOB_0099,Frontend Developer,Company_06,13.3,0.124,0.013,0.134,0.08,0.118,0.9,0.9,0.5,0.268,0.128,0.098,0.151,0.7,0.077,0.7,0.046,0.106,0.17,0.124,0.247
JOB_0100,Project Manager,Company_16,34.1,0.235,0.29,0.251,0.043,0.158,0.051,0.245,0.175,0.079,0.279,0.035,0.169,0.9,0.9,0.8,0.95,0.7,0.154,0.078,0.199
JOB_0101,Backend Developer,Company_08,33.1,0.7,0.8,0.097,0.176,0.215,0.133,0.047,0.7,0.8,0.6,0.7,0.145,0.277,0.026,0.034,0.279,0.284,0.094,0.107,0.136
JOB_0102,DevOps Engineer,Company_25,10.7,0.6,0.076,0.212,0.02,0.012,0.196,0.102,0.197,0.028,0.9,0.9,0.9,0.041,0.096,0.8,0.161,0.089,0.018,0.111,0.076
JOB_0103,DevOps Engineer,Company_23,10.9,0.6,0.188,0.116,0.104,0.16,0.232,0.114,0.176,0.29,0.9,0.9,0.9,0.018,0.129,0.8,0.296,0.138,0.028,0.169,0.038
JOB_0104,DevOps Engineer,Company_45,20.2,0.6,0.261,0.189,0.184,0.226,0.253,0.261,0.011,0.167,0.9,0.9,0.9,0.126,0.056,0.8,0.211,0.061,0.028,0.266,0.229
JOB_0105,Data Scientist,Company_12,13.8,0.9,0.7,0.9,0.9,0.6,0.012,0.219,0.013,0.001,0.219,0.285,0.227,0.7,0.146,0.131,0.097,0.157,0.129,0.179,0.8
JOB_0106,Data Analyst,Company_59,7.4,0.6,0.9,0.106,0.9,0.052,0.229,0.149,0.276,0.01,0.02,0.121,0.024,0.8,0.296,0.063,0.059,0.8,0.7,0.174,0.7
JOB_0107,Frontend Developer,Company_49,9.2,0.129,0.207,0.26,0.111,0.17,0.9,0.9,0.5,0.218,0.086,0.217,0.02,0.7,0.251,0.7,0.007,0.017,0.256,0.07,0.164
JOB_0108,Full Stack Developer,Company_26,28.9,0.6,0.7,0.297,0.045,0.249,0.8,0.7,0.8,0.2,0.206,0.6,0.126,0.11,0.156,0.139,0.098,0.092,0.075,0.11,0.045
JOB_0109,Full Stack Developer,Company_52,23.1,0.6,0.7,0.254,0.071,0.045,0.8,0.7,0.8,0.296,0.013,0.6,0.022,0.178,0.227,0.108,0.003,0.179,0.297,0.077,0.057
JOB_0110,Data Analyst,Company_08,21.7,0.6,0.9,0.226,0.9,0.242,0.074,0.167,0.089,0.099,0.28,0.205,0.292,0.8,0.161,0.146,0.032,0.8,0.7,0.02,0.7
JOB_0111,Full Stack Developer,Company_08,10.9,0.6,0.7,0.27,0.218,0.021,0.8,0.7,0.8,0.248,0.216,0.6,0.097,0.209,0.287,0.176,0.199,0.131,0.227,0.299,0.048
JOB_0112,Data Scientist,Company_12,21.2,0.9,0.7,0.9,0.9,0.6,0.176,0.197,0.216,0.192,0.237,0.187,0.161,0.7,0.03,0.082,0.158,0.262,0.204,0.027,0.8
JOB_0113,ML Engineer,Company_14,27.0,0.9,0.178,0.9,0.102,0.8,0.259,0.217,0.156,0.11,0.7,0.7,0.058,0.112,0.283,0.152,0.07,0.032,0.101,0.6,0.7
JOB_0114,Full Stack Developer,Company_46,29.1,0.6,0.7,0.288,0.121,0.015,0.8,0.7,0.8,0.166,0.064,0.6,0.15,0.01,0.205,0.285,0.249,0.083,0.016,0.282,0.281
JOB_0115,Data Scientist,Company_32,24.3,0.9,0.7,0.9,0.9,0.6,0.251,0.044,0.068,0.165,0.065,0.049,0.169,0.7,0.188,0.274,0.045,0.274,0.271,0.249,0.8
JOB_0116,Data Analyst,Company_37,24.2,0.6,0.9,0.287,0.9,0.234,0.113,0.004,0.153,0.152,0.131,0.102,0.075,0.8,0.113,0.291,0.052,0.8,0.7,0.163,0.7
JOB_0117,Data Scientist,Company_38,33.5,0.9,0.7,0.9,0.9,0.6,0.009,0.185,0.203,0.224,0.155,0.181,0.119,0.7,0.03,0.196,0.299,0.005,0.167,0.225,0.8
JOB_0118,Frontend Developer,Company_33,23.6,0.209,0.258,0.037,0.278,0.008,0.9,0.9,0.5,0.001,0.134,0.1,0.05,0.7,0.121,0.7,0.268,0.196,0.037,0.089,0.274
JOB_0119,Backend Developer,Company_06,17.2,0.7,0.8,0.123,0.2,0.137,0.226,0.009,0.7,0.8,0.6,0.7,0.105,0.266,0.246,0.148,0.232,0.081,0.148,0.059,0.258
JOB_0120,Data Analyst,Company_49,32.1,0.6,0.9,0.069,0.9,0.171,0.127,0.168,0.103,0.087,0.072,0.025,0.149,0.8,0.189,0.156,0.129,0.8,0.7,0.247,0.7
JOB_0121,DevOps Engineer,Company_43,27.8,0.6,0.259,0.087,0.264,0.219,0.24,0.199,0.254,0.298,0.9,0.9,0.9,0.136,0.278,0.8,0.17,0.032,0.068,0.252,0.119
JOB_0122,Project Manager,Company_24,12.4,0.147,0.242,0.269,0.021,0.172,0.14,0.184,0.134,0.12,0.142,0.175,0.15,0.9,0.9,0.8,0.95,0.7,0.256,0.046,0.175
JOB_0123,DevOps Engineer,Company_17,27.2,0.6,0.201,0.077,0.153,0.285,0.114,0.263,0.296,0.262,0.9,0.9,0.9,0.118,0.261,0.8,0.16,0.116,0.244,0.213,0.141
JOB_0124,Data Analyst,Company_53,11.9,0.6,0.9,0.292,0.9,0.075,0.042,0.258,0.068,0.151,0.297,0.004,0.167,0.8,0.242,0.107,0.123,0.8,0.7,0.235,0.7
JOB_0125,ML Engineer,Company_24,31.8,0.9,0.09,0.9,0.1,0.8,0.138,0.054,0.159,0.212,0.7,0.7,0.253,0.052,0.229,0.108,0.235,0.062,0.056,0.6,0.7
JOB_0126,Project Manager,Company_14,26.7,0.251,0.024,0.265,0.239,0.261,0.21,0.202,0.158,0.196,0.276,0.03,0.095,0.9,0.9,0.8,0.95,0.7,0.297,0.049,0.24
JOB_0127,ML Engineer,Company_53,6.5,0.9,0.106,0.9,0.154,0.8,0.041,0.035,0.031,0.191,0.7,0.7,0.208,0.206,0.162,0.28,0.116,0.251,0.023,0.6,0.7
JOB_0128,Full Stack Developer,Company_50,22.4,0.6,0.7,0.204,0.231,0.299,0.8,0.7,0.8,0.036,0.073,0.6,0.219,0.055,0.05,0.013,0.262,0.208,0.012,0.008,0.168
JOB_0129,Data Analyst,Company_17,22.9,0.6,0.9,0.086,0.9,0.016,0.287,0.294,0.222,0.14,0.066,0.244,0.221,0.8,0.135,0.139,0.248,0.8,0.7,0.195,0.7
JOB_0130,Data Analyst,Company_22,6.4,0.6,0.9,0.131,0.9,0.063,0.176,0.07,0.019,0.23,0.113,0.114,0.129,0.8,0.096,0.227,0.282,0.8,0.7,0.224,0.7
JOB_0131,Project Manager,Company_25,20.8,0.095,0.031,0.124,0.037,0.123,0.167,0.279,0.011,0.186,0.137,0.006,0.075,0.9,0.9,0.8,0.95,0.7,0.0,0.049,0.028
JOB_0132,Frontend Developer,Company_33,14.9,0.165,0.067,0.007,0.282,0.032,0.9,0.9,0.5,0.185,0.183,0.296,0.027,0.7,0.061,0.7,0.126,0.115,0.279,0.045,0.299
