student_id,name,branch,experience_years,graduation_year
228,Student_0228,EEE,1.8,2025
229,Student_0229,Data Science,2.4,2024
230,Student_0230,CSE,1.3,2026
231,Student_0231,ECE,1.8,2026
232,Student_0232,EEE,0.2,2024
233,Student_0233,Civil,0.1,2027
234,Student_0234,IT,0.4,2025
235,Student_0235,CSE,1.1,2025
236,Student_0236,IT,0.1,2025
237,Student_0237,IT,2.0,2026
238,Student_0238,AIML,1.6,2027
239,Student_0239,CSE,1.0,2025
240,Student_0240,ECE,0.0,2026
241,Student_0241,EEE,2.5,2024
242,Student_0242,AIML,0.6,2025
243,Student_0243,Civil,0.0,2027
244,Student_0244,IT,1.4,2025
245,Student_0245,Mech,0.9,2025
246,Student_0246,Mech,0.9,2026
247,Student_0247,Civil,0.7,2025
248,Student_0248,CSE,0.8,2025
249,Student_0249,EEE,0.0,2026
250,Student_0250,Civil,1.2,2026
251,Student_0251,Mech,1.2,2026
252,Student_0252,IT,0.9,2026
253,Student_0253,IT,0.9,2025
254,Student_0254,AIML,3.0,2024
255,Student_0255,EEE,1.2,2025
256,Student_0256,EEE,0.1,2024
257,Student_0257,IT,0.2,2027
258,Student_0258,AIML,0.4,2024
259,Student_0259,Civil,1.4,2025
260,Student_0260,ECE,1.0,2027
261,Student_0261,IT,0.7,2027
262,Student_0262,EEE,1.1,2027
263,Student_0263,IT,0.5,2025
264,Student_0264,Data Science,0.8,2026
265,Student_0265,CSE,2.7,2026
266,Student_0266,Civil,4.0,2026
267,Student_0267,ECE,0.4,2027
268,Student_0268,CSE,0.1,2024
269,Student_0269,CSE,1.1,2025
270,Student_0270,CSE,0.0,2027
271,Student_0271,IT,0.7,2025
272,Student_0272,Mech,1.1,2024
273,Student_0273,EEE,1.8,2026
274,Student_0274,ECE,0.6,2026
275,Student_0275,AIML,0.8,2024
276,Student_0276,Civil,4.0,2026
277,Student_0277,EEE,0.9,2024
278,Student_0278,AIML,1.4,2026
279,Student_0279,CSE,1.8,2027
280,Student_0280,CSE,0.6,2024
281,Student_0281,Mech,0.2,2025
282,Student_0282,CSE,0.0,2026
283,Student_0283,ECE,1.0,2024
284,Student_0284,ECE,0.6,2027
285,Student_0285,ECE,0.0,2026
286,Student_0286,Data Science,1.2,2027
287,Student_0287,IT,3.8,2026
288,Student_0288,EEE,0.2,2024
289,Student_0289,Data Science,0.7,2026
290,Student_0290,AIML,0.8,2025
291,Student_0291,Mech,1.8,2024
292,Student_0292,Mech,0.4,2027
293,Student_0293,AIML,0.3,2025
294,Student_0294,CSE,0.2,2025
295,Student_0295,Mech,0.0,2027
296,Student_0296,Data Science,1.0,2024
297,Student_0297,Civil,2.1,2027
298,Student_0298,EEE,1.7,2025
299,Student_0299,Mech,1.1,2026
300,Student_0300,Civil,1.2,2024
301,Student_0301,Civil,0.5,2027
302,Student_0302,Data Science,4.0,2025
303,Student_0303,AIML,0.8,2026
304,Student_0304,Data Science,1.8,2025
305,Student_0305,ECE,0.9,2024
306,Student_0306,AIML,0.8,2026
307,Student_0307,ECE,0.1,2024
308,Student_0308,IT,0.7,2026
309,Student_0309,ECE,0.0,2025
310,Student_0310,Data Science,0.8,2024
311,Student_0311,Data Science,1.7,2025
312,Student_0312,Mech,0.8,2026
313,Student_0313,Mech,0.9,2024
314,Student_0314,IT,0.9,2025
315,Student_0315,Civil,0.8,2024
316,Student_0316,CSE,2.4,2025
317,Student_0317,ECE,0.1,2026
318,Student_0318,ECE,0.6,2024
319,Student_0319,Mech,0.9,2027
320,Student_0320,EEE,1.5,2025
321,Student_0321,CSE,0.0,2027
322,Student_0322,ECE,3.7,2024
323,Student_0323,Civil,2.8,2024
324,Student_0324,Data Science,0.7,2025
325,Student_0325,AIML,0.5,2024
326,Student_0326,EEE,0.7,2024
327,Student_0327,Mech,0.4,2024
328,Student_0328,ECE,2.3,2025
329,Student_0329,CSE,0.9,2025
330,Student_0330,Mech,1.3,2026
331,Student_0331,CSE,0.3,2024
332,Student_0332,AIML,2.0,2027
333,Student_0333,Civil,1.1,2025
334,Student_0334,AIML,1.7,2026
335,Student_0335,ECE,1.9,2025
336,Student_0336,EEE,0.1,2024
337,Student_0337,AIML,0.9,2025
338,Student_0338,Civil,0.1,2025
339,Student_0339,CSE,2.3,2027
340,Student_0340,AIML,0.3,2025
341,Student_0341,Mech,3.2,2026
342,Student_0342,ECE,1.6,2027
343,Student_0343,ECE,0.4,2025
344,Student_0344,AIML,1.1,2027
345,Student_0345,ECE,1.0,2025
346,Student_0346,IT,2.0,2027
347,Student_0347,IT,0.3,2026
348,Student_0348,Civil,0.3,2025
349,Student_0349,Mech,0.8,2024
350,Student_0350,EEE,1.2,2024
351,Student_0351,CSE,0.8,2027
352,Student_0352,Mech,0.2,2026
353,Student_0353,Data Science,0.7,2024
354,Student_0354,ECE,2.6,2027
355,Student_0355,IT,0.2,2024
356,Student_0356,Data Science,0.3,2026
357,Student_0357,Mech,0.0,2026
358,Student_0358,Data Science,0.1,2025
359,Student_0359,EEE,0.3,2026
360,Student_0360,CSE,0.0,2024
361,Student_0361,Mech,0.8,2026
362,Student_0362,IT,0.2,2024
363,Student_0363,Mech,0.1,2026
364,Student_0364,Data Science,0.2,2026
365,Student_0365,Data Science,0.3,2024
366,Student_0366,ECE,0.5,2026
367,Student_0367,ECE,0.2,2027
368,Student_0368,Civil,0.1,2027
369,Student_0369,Mech,0.2,2027
370,Student_0370,Data Science,3.1,2027
371,Student_0371,IT,1.2,2024
372,Student_0372,ECE,0.3,2027
373,Student_0373,Data Science,0.7,2027
374,Student_0374,Data Science,0.2,2026
375,Student_0375,EEE,0.9,2024
376,Student_0376,ECE,1.8,2026
377,Student_0377,ECE,2.3,2025
378,Student_0378,AIML,0.0,2024
379,Student_0379,Civil,0.7,2024
380,Student_0380,EEE,0.8,2024
381,Student_0381,ECE,2.2,2027
382,Student_0382,EEE,0.3,2025
383,Student_0383,Civil,0.5,2026
384,Student_0384,IT,0.7,2025
385,Student_0385,EEE,0.5,2026
386,Student_0386,EEE,0.1,2026
387,Student_0387,Data Science,2.8,2027
388,Student_0388,Mech,2.4,2024
389,Student_0389,EEE,0.8,2027
390,Student_0390,ECE,1.2,2024
391,Student_0391,EEE,0.9,2024
392,Student_0392,Data Science,1.3,2026
393,Student_0393,Civil,0.3,2026
394,Student_0394,EEE,0.8,2027
395,Student_0395,Civil,0.5,2027
396,Student_0396,IT,0.2,2026
397,Student_0397,EEE,0.7,2024
398,Student_0398,EEE,1.9,2025
399,Student_0399,ECE,3.8,2027
400,Student_0400,Data Science,3.3,2026
401,Student_0401,Civil,0.4,2026
402,Student_0402,CSE,0.0,2026
403,Student_0403,Civil,0.8,2025
404,Student_0404,AIML,0.5,2027
405,Student_0405,IT,0.3,2025
406,Student_0406,Mech,0.1,2026
407,Student_0407,AIML,0.3,2027
408,Student_0408,ECE,4.0,2026
409,Student_0409,CSE,1.0,2026
410,Student_0410,AIML,1.2,2025
411,Student_0411,AIML,1.6,2025
412,Student_0412,EEE,0.4,2026
413,Student_0413,Civil,2.9,2024
414,Student_0414,CSE,4.0,2027
415,Student_0415,Civil,0.3,2026
416,Student_0416,Data Science,1.3,2025
417,Student_0417,AIML,0.2,2027
418,Student_0418,ECE,1.1,2025
419,Student_0419,Civil,0.4,2024
420,Student_0420,Data Science,0.8,2027
