student_id,job_id,domain_match,required_overlap_count,required_overlap_ratio,nice_overlap_count,nice_overlap_ratio,avg_required_skill_score,min_required_skill_score,meets_min_score_threshold,years_experience,min_years_required,years_gap,verified_skill_breadth,is_good_match
S0493,J0094,0.0,1,0.25,0,0.0,68.0,68.0,1.0,6.4,3.0,3.4,6,1
S0551,J0073,0.0,0,0.0,0,0.0,0.0,0.0,0.0,2.0,3.0,-1.0,8,1
S0598,J0067,0.0,0,0.0,0,0.0,0.0,0.0,0.0,1.6,0.0,1.6,6,1
S0174,J0011,0.0,0,0.0,0,0.0,0.0,0.0,0.0,1.0,3.0,-2.0,7,1
S0445,J0007,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,6,0
S0327,J0074,0.0,0,0.0,1,0.5,0.0,0.0,0.0,0.1,2.0,-1.9,7,1
S0258,J0101,0.0,0,0.0,0,0.0,0.0,0.0,0.0,1.9,1.0,0.9,4,1
S0307,J0063,1.0,3,1.0,0,0.0,31.4,27.2,0.0,0.9,0.0,0.9,6,1
S0012,J0094,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.7,3.0,-2.3,7,0
S0018,J0080,1.0,2,0.4,0,0.0,95.75,95.5,1.0,0.0,1.0,-1.0,4,1
S0576,J0119,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.3,0.0,0.3,8,0
S0566,J0029,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.7,3.0,-2.3,6,0
S0085,J0027,1.0,1,0.25,0,0.0,60.0,60.0,1.0,1.6,3.0,-1.4,5,0
S0379,J0013,1.0,2,0.6667,0,0.0,65.8,56.5,1.0,0.4,1.0,-0.6,7,1
S0195,J0039,0.0,0,0.0,1,0.3333,0.0,0.0,0.0,1.4,1.0,0.4,5,0
S0279,J0095,0.0,1,0.3333,0,0.0,64.4,64.4,1.0,0.4,1.0,-0.6,6,1
S0085,J0035,0.0,0,0.0,0,0.0,0.0,0.0,0.0,1.6,2.0,-0.4,5,0
S0405,J0112,1.0,3,0.75,2,1.0,52.1,45.6,0.0,4.8,3.0,1.8,8,1
S0146,J0110,1.0,3,0.75,2,0.6667,87.67,86.8,1.0,0.4,0.0,0.4,6,1
S0377,J0024,1.0,3,0.75,0,0.0,53.5,50.7,0.0,0.2,3.0,-2.8,6,1
S0356,J0090,1.0,3,0.6,1,0.3333,26.2,19.7,0.0,2.7,1.0,1.7,5,1
S0216,J0068,1.0,2,0.4,1,0.5,60.75,58.9,1.0,0.7,1.0,-0.3,5,1
S0446,J0102,0.0,0,0.0,0,0.0,0.0,0.0,0.0,4.2,0.0,4.2,6,0
S0253,J0089,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.6,1.0,-0.4,7,1
S0205,J0040,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.6,0.0,0.6,8,0
S0263,J0099,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.2,1.0,-0.8,6,1
S0368,J0086,0.0,1,0.25,0,0.0,84.1,84.1,1.0,3.3,1.0,2.3,8,1
S0109,J0074,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.4,2.0,-1.6,7,0
S0195,J0090,1.0,1,0.2,1,0.3333,65.5,65.5,1.0,1.4,1.0,0.4,5,0
S0388,J0092,0.0,0,0.0,0,0.0,0.0,0.0,0.0,4.1,1.0,3.1,5,0
S0402,J0057,0.0,1,0.25,0,0.0,43.5,43.5,0.0,0.1,0.0,0.1,7,0
S0504,J0101,1.0,2,0.4,3,1.0,62.85,58.8,1.0,1.2,1.0,0.2,8,1
S0327,J0078,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.1,1.0,-0.9,7,0
S0087,J0039,0.0,0,0.0,0,0.0,0.0,0.0,0.0,2.5,1.0,1.5,7,0
S0064,J0087,0.0,0,0.0,0,0.0,0.0,0.0,0.0,5.8,0.0,5.8,6,0
S0131,J0018,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.3,1.0,-0.7,6,0
S0206,J0101,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.6,1.0,-0.4,7,0
S0206,J0072,1.0,2,0.6667,2,0.6667,52.05,38.9,0.0,0.6,1.0,-0.4,7,1
S0508,J0074,1.0,2,0.5,1,0.5,59.2,48.7,1.0,0.0,2.0,-2.0,5,1
S0525,J0120,1.0,2,0.6667,2,1.0,34.7,29.2,0.0,0.2,2.0,-1.8,8,1
S0491,J0031,1.0,4,0.8,1,1.0,65.45,63.3,1.0,1.7,1.0,0.7,8,1
S0400,J0095,0.0,0,0.0,0,0.0,0.0,0.0,0.0,1.4,1.0,0.4,8,1
S0388,J0058,0.0,0,0.0,0,0.0,0.0,0.0,0.0,4.1,0.0,4.1,5,1
S0562,J0014,1.0,0,0.0,0,0.0,0.0,0.0,0.0,0.1,1.0,-0.9,4,1
S0388,J0024,0.0,0,0.0,0,0.0,0.0,0.0,0.0,4.1,3.0,1.1,5,0
S0355,J0115,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.9,3.0,-2.1,5,1
S0284,J0087,1.0,2,0.5,1,0.3333,85.15,82.1,1.0,2.0,0.0,2.0,5,1
S0352,J0104,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.1,1.0,-0.9,5,0
S0281,J0087,0.0,0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,6,0
S0503,J0028,0.0,0,0.0,0,0.0,0.0,0.0,0.0,1.2,3.0,-1.8,5,0
S0098,J0105,0.0,1,0.2,0,0.0,82.7,82.7,1.0,0.0,1.0,-1.0,5,0
S0461,J0088,0.0,0,0.0,0,0.0,0.0,0.0,0.0,1.3,0.0,1.3,6,1
S0179,J0085,0.0,0,0.0,0,0.0,0.0,0.0,0.0,1.2,3.0,-1.8,6,0
S0552,J0056,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,3.0,-3.0,4,0
S0068,J0079,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.8,0.0,0.8,8,1
S0364,J0024,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.8,3.0,-2.2,6,1
S0271,J0042,0.0,1,0.25,1,0.5,69.4,69.4,1.0,1.6,0.0,1.6,8,1
S0595,J0022,1.0,4,0.8,0,0.0,75.83,55.7,1.0,0.1,0.0,0.1,7,1
S0425,J0023,0.0,0,0.0,0,0.0,0.0,0.0,0.0,2.5,2.0,0.5,6,1
S0377,J0064,1.0,2,0.4,1,0.5,49.5,43.8,0.0,0.2,0.0,0.2,6,0
S0459,J0041,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,7,0
S0145,J0087,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.6,0.0,0.6,6,0
S0450,J0090,0.0,1,0.2,0,0.0,14.0,14.0,0.0,0.2,1.0,-0.8,7,0
S0470,J0114,0.0,0,0.0,0,0.0,0.0,0.0,0.0,1.5,1.0,0.5,6,0
S0459,J0027,1.0,3,0.75,1,1.0,91.3,88.7,1.0,0.2,3.0,-2.8,7,1
S0098,J0081,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,3.0,-3.0,5,0
S0485,J0061,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.1,1.0,-0.9,9,0
S0259,J0075,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.1,3.0,-2.9,8,0
S0181,J0066,0.0,1,0.2,0,0.0,51.8,51.8,1.0,2.2,2.0,0.2,5,0
S0452,J0043,0.0,0,0.0,1,0.3333,0.0,0.0,0.0,0.4,1.0,-0.6,7,0
S0526,J0108,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.2,2.0,-1.8,4,0
S0391,J0044,0.0,1,0.25,1,0.5,67.7,67.7,1.0,5.3,0.0,5.3,7,1
S0308,J0097,0.0,0,0.0,0,0.0,0.0,0.0,0.0,2.8,1.0,1.8,4,0
S0343,J0004,0.0,1,0.2,0,0.0,58.3,58.3,1.0,3.0,2.0,1.0,8,1
S0531,J0065,0.0,0,0.0,0,0.0,0.0,0.0,0.0,1.5,1.0,0.5,6,0
S0406,J0025,0.0,0,0.0,0,0.0,0.0,0.0,0.0,8.0,0.0,8.0,7,1
S0577,J0060,1.0,2,0.5,2,0.6667,69.5,67.8,1.0,0.2,0.0,0.2,6,1
S0425,J0034,1.0,3,0.6,0,0.0,74.3,67.8,1.0,2.5,2.0,0.5,6,1
S0001,J0036,0.0,1,0.25,0,0.0,61.2,61.2,1.0,0.6,0.0,0.6,8,0
S0151,J0092,0.0,0,0.0,0,0.0,0.0,0.0,0.0,2.4,1.0,1.4,5,0
S0515,J0001,1.0,1,0.3333,1,0.3333,54.0,54.0,0.0,0.1,2.0,-1.9,4,1
S0414,J0070,0.0,0,0.0,1,0.5,0.0,0.0,0.0,0.5,2.0,-1.5,7,0
S0056,J0050,0.0,1,0.3333,1,0.3333,39.4,39.4,0.0,2.5,1.0,1.5,5,0
S0034,J0060,1.0,2,0.5,2,0.6667,59.5,53.5,0.0,1.7,0.0,1.7,6,1
S0081,J0094,1.0,0,0.0,2,0.6667,0.0,0.0,0.0,2.1,3.0,-0.9,4,0
S0272,J0050,0.0,0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,8,0
S0278,J0015,1.0,2,0.5,1,1.0,79.2,73.6,1.0,1.4,2.0,-0.6,5,1
S0207,J0007,0.0,0,0.0,0,0.0,0.0,0.0,0.0,2.9,0.0,2.9,8,0
S0114,J0009,0.0,0,0.0,0,0.0,0.0,0.0,0.0,4.8,2.0,2.8,7,0
S0508,J0063,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,1
S0209,J0001,0.0,0,0.0,0,0.0,0.0,0.0,0.0,1.5,2.0,-0.5,7,0
S0372,J0105,0.0,1,0.2,0,0.0,67.7,67.7,1.0,0.5,1.0,-0.5,5,1
S0247,J0055,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,4,0
S0159,J0063,0.0,0,0.0,0,0.0,0.0,0.0,0.0,2.3,0.0,2.3,6,1
S0290,J0071,1.0,3,0.75,1,0.5,38.07,28.5,0.0,0.4,0.0,0.4,6,1
S0145,J0058,1.0,3,0.75,1,0.3333,68.77,61.9,1.0,0.6,0.0,0.6,6,1
S0051,J0012,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,4,0
S0539,J0051,0.0,1,0.2,0,0.0,60.8,60.8,1.0,0.7,0.0,0.7,4,1
S0056,J0028,1.0,2,0.4,1,1.0,41.0,31.2,0.0,2.5,3.0,-0.5,5,1
S0018,J0072,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,4,0
S0084,J0006,1.0,2,0.4,1,0.3333,69.1,65.5,1.0,1.8,0.0,1.8,5,1
S0528,J0041,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.3,0.0,0.3,5,1
S0051,J0021,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.2,1.0,-0.8,4,0
S0561,J0030,1.0,3,0.75,1,1.0,33.57,27.2,0.0,0.5,1.0,-0.5,9,1
S0046,J0090,0.0,0,0.0,0,0.0,0.0,0.0,0.0,4.3,1.0,3.3,7,0
S0260,J0103,1.0,1,0.25,2,1.0,21.0,21.0,0.0,0.9,0.0,0.9,5,1
S0076,J0026,0.0,0,0.0,0,0.0,0.0,0.0,0.0,1.0,3.0,-2.0,7,0
S0373,J0029,0.0,0,0.0,1,0.3333,0.0,0.0,0.0,2.4,3.0,-0.6,4,0
S0599,J0019,1.0,2,0.4,1,1.0,76.0,73.0,1.0,2.0,1.0,1.0,5,1
S0345,J0053,1.0,3,0.6,3,1.0,59.13,47.5,0.0,2.5,1.0,1.5,6,1
S0145,J0036,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.6,0.0,0.6,6,0
S0244,J0105,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.5,1.0,-0.5,7,0
S0028,J0084,0.0,0,0.0,0,0.0,0.0,0.0,0.0,1.0,3.0,-2.0,4,0
S0112,J0012,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.9,0.0,0.9,5,1
S0192,J0092,0.0,0,0.0,1,0.5,0.0,0.0,0.0,0.1,1.0,-0.9,8,1
S0455,J0094,0.0,1,0.25,0,0.0,53.3,53.3,1.0,0.5,3.0,-2.5,9,0
S0164,J0099,0.0,0,0.0,0,0.0,0.0,0.0,0.0,2.2,1.0,1.2,7,0
S0569,J0120,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.6,2.0,-1.4,7,0
S0232,J0102,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.9,0.0,0.9,4,0
S0122,J0008,0.0,0,0.0,0,0.0,0.0,0.0,0.0,1.5,1.0,0.5,4,0
S0200,J0073,1.0,3,0.75,0,0.0,67.37,60.0,1.0,0.3,3.0,-2.7,5,1
S0140,J0011,0.0,0,0.0,0,0.0,0.0,0.0,0.0,2.7,3.0,-0.3,5,0
S0454,J0078,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.2,1.0,-0.8,5,0
S0007,J0051,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,6,0
S0292,J0049,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.6,0.0,0.6,8,0
S0359,J0004,0.0,0,0.0,0,0.0,0.0,0.0,0.0,1.0,2.0,-1.0,4,0
S0093,J0030,1.0,4,1.0,1,1.0,75.4,65.2,1.0,1.3,1.0,0.3,7,1
S0510,J0057,1.0,2,0.5,0,0.0,84.0,68.0,1.0,1.4,0.0,1.4,5,1
S0016,J0029,0.0,0,0.0,0,0.0,0.0,0.0,0.0,3.2,3.0,0.2,7,1
S0246,J0057,0.0,1,0.25,1,0.5,43.6,43.6,0.0,2.5,0.0,2.5,9,1
S0390,J0050,0.0,0,0.0,1,0.3333,0.0,0.0,0.0,1.5,1.0,0.5,7,0
S0394,J0100,0.0,0,0.0,1,0.3333,0.0,0.0,0.0,0.5,1.0,-0.5,5,1
S0317,J0004,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.2,2.0,-1.8,8,1
S0453,J0094,0.0,1,0.25,0,0.0,43.5,43.5,1.0,1.9,3.0,-1.1,8,1
S0105,J0110,0.0,0,0.0,2,0.6667,0.0,0.0,0.0,0.6,0.0,0.6,6,0
S0152,J0096,0.0,1,0.25,0,0.0,90.9,90.9,1.0,0.8,2.0,-1.2,7,0
S0271,J0059,0.0,0,0.0,1,0.3333,0.0,0.0,0.0,1.6,1.0,0.6,8,0
S0109,J0092,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.4,1.0,-0.6,7,0
S0031,J0039,0.0,0,0.0,1,0.3333,0.0,0.0,0.0,0.6,1.0,-0.4,7,0
S0523,J0021,0.0,1,0.2,0,0.0,36.0,36.0,0.0,1.9,1.0,0.9,4,1
S0404,J0035,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.1,2.0,-1.9,4,0
S0530,J0007,1.0,3,0.6,1,0.5,67.83,59.6,1.0,1.9,0.0,1.9,7,1
S0045,J0088,0.0,0,0.0,0,0.0,0.0,0.0,0.0,1.5,0.0,1.5,8,0
S0435,J0096,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.1,2.0,-1.9,4,0
S0298,J0086,0.0,1,0.25,0,0.0,66.5,66.5,1.0,0.0,1.0,-1.0,5,1
S0491,J0011,0.0,2,0.4,0,0.0,76.4,75.7,1.0,1.7,3.0,-1.3,8,1
S0445,J0068,0.0,1,0.2,0,0.0,79.5,79.5,1.0,0.1,1.0,-0.9,6,0
S0174,J0004,0.0,0,0.0,0,0.0,0.0,0.0,0.0,1.0,2.0,-1.0,7,0
S0451,J0078,0.0,0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,4,0
S0428,J0104,0.0,0,0.0,0,0.0,0.0,0.0,0.0,2.6,1.0,1.6,5,0
S0009,J0102,0.0,0,0.0,0,0.0,0.0,0.0,0.0,1.5,0.0,1.5,5,0
S0307,J0022,0.0,1,0.2,1,1.0,27.2,27.2,0.0,0.9,0.0,0.9,6,1
S0024,J0105,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,5,0
S0557,J0037,0.0,0,0.0,0,0.0,0.0,0.0,0.0,1.1,3.0,-1.9,4,0
S0517,J0013,0.0,0,0.0,0,0.0,0.0,0.0,0.0,1.9,1.0,0.9,7,0
S0338,J0060,1.0,1,0.25,1,0.3333,83.2,83.2,1.0,1.5,0.0,1.5,5,1
S0166,J0115,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.3,3.0,-2.7,4,0
S0475,J0019,0.0,0,0.0,0,0.0,0.0,0.0,0.0,4.4,1.0,3.4,6,0
S0127,J0095,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.6,1.0,-0.4,7,0
S0479,J0046,1.0,2,0.5,1,0.3333,18.65,18.0,0.0,3.5,2.0,1.5,4,0
S0431,J0042,0.0,0,0.0,0,0.0,0.0,0.0,0.0,1.2,0.0,1.2,5,0
S0570,J0091,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.5,3.0,-2.5,4,0
S0259,J0085,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.1,3.0,-2.9,8,0
S0135,J0080,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.1,1.0,-0.9,4,0
S0511,J0057,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.6,0.0,0.6,6,1
S0521,J0102,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,5,1
S0430,J0007,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,7,0
